T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2023-2024,2,ARANSAS COUNTY,Grade 4,229
2023-2024,2,ARANSAS COUNTY,Grade 5,203
2023-2024,2,ARANSAS COUNTY,Grade 6,223
2023-2024,2,ARANSAS COUNTY,Grade 7,235
2023-2024,2,ARANSAS COUNTY,Grade 8,242
2023-2024,2,ARANSAS COUNTY,Grade 9,243
2023-2024,2,ARANSAS COUNTY,Grade 10,236
2023-2024,2,ARANSAS COUNTY,Grade 11,235
2023-2024,2,ARANSAS COUNTY,Grade 12,184
2023-2024,9,ARCHER COUNTY,Early Education,10
2023-2024,9,ARCHER COUNTY,Pre-kindergarten,71
2023-2024,9,ARCHER COUNTY,Kindergarten,132
2023-2024,9,ARCHER COUNTY,Grade 1,149
2023-2024,9,ARCHER COUNTY,Grade 2,160
2023-2024,9,ARCHER COUNTY,Grade 3,177
2023-2024,9,ARCHER COUNTY,Grade 4,157
2023-2024,9,ARCHER COUNTY,Grade 5,166
2023-2024,9,ARCHER COUNTY,Grade 6,164
2023-2024,9,ARCHER COUNTY,Grade 7,157
2023-2024,9,ARCHER COUNTY,Grade 8,158
2023-2024,9,ARCHER COUNTY,Grade 9,170
2023-2024,9,ARCHER COUNTY,Grade 10,171
2023-2024,9,ARCHER COUNTY,Grade 11,157
2023-2024,9,ARCHER COUNTY,Grade 12,150
2023-2024,16,ARMSTRONG COUNTY,Early Education,5
2023-2024,16,ARMSTRONG COUNTY,Pre-kindergarten,11
2023-2024,16,ARMSTRONG COUNTY,Kindergarten,25
2023-2024,16,ARMSTRONG COUNTY,Grade 1,25
2023-2024,16,ARMSTRONG COUNTY,Grade 2,19
2023-2024,16,ARMSTRONG COUNTY,Grade 3,17
2023-2024,16,ARMSTRONG COUNTY,Grade 4,32
2023-2024,16,ARMSTRONG COUNTY,Grade 5,32
2023-2024,16,ARMSTRONG COUNTY,Grade 6,21
2023-2024,16,ARMSTRONG COUNTY,Grade 7,20
2023-2024,16,ARMSTRONG COUNTY,Grade 8,24
2023-2024,16,ARMSTRONG COUNTY,Grade 9,25
2023-2024,16,ARMSTRONG COUNTY,Grade 10,22
2023-2024,16,ARMSTRONG COUNTY,Grade 11,18
2023-2024,16,ARMSTRONG COUNTY,Grade 12,23
2023-2024,20,ATASCOSA COUNTY,Early Education,54
2023-2024,20,ATASCOSA COUNTY,Pre-kindergarten,503
2023-2024,20,ATASCOSA COUNTY,Kindergarten,605
2023-2024,20,ATASCOSA COUNTY,Grade 1,676
2023-2024,20,ATASCOSA COUNTY,Grade 2,635
2023-2024,20,ATASCOSA COUNTY,Grade 3,640
2023-2024,20,ATASCOSA COUNTY,Grade 4,652
2023-2024,20,ATASCOSA COUNTY,Grade 5,654
2023-2024,20,ATASCOSA COUNTY,Grade 6,671
2023-2024,20,ATASCOSA COUNTY,Grade 7,676
2023-2024,20,ATASCOSA COUNTY,Grade 8,692
2023-2024,20,ATASCOSA COUNTY,Grade 9,738
2023-2024,20,ATASCOSA COUNTY,Grade 10,674
2023-2024,20,ATASCOSA COUNTY,Grade 11,620
2023-2024,20,ATASCOSA COUNTY,Grade 12,569
2023-2024,6,AUSTIN COUNTY,Early Education,45
2023-2024,6,AUSTIN COUNTY,Pre-kindergarten,199
2023-2024,6,AUSTIN COUNTY,Kindergarten,367
2023-2024,6,AUSTIN COUNTY,Grade 1,375
2023-2024,6,AUSTIN COUNTY,Grade 2,455
2023-2024,6,AUSTIN COUNTY,Grade 3,439
2023-2024,6,AUSTIN COUNTY,Grade 4,400
2023-2024,6,AUSTIN COUNTY,Grade 5,417
2023-2024,6,AUSTIN COUNTY,Grade 6,476
2023-2024,6,AUSTIN COUNTY,Grade 7,466
2023-2024,6,AUSTIN COUNTY,Grade 8,512
2023-2024,6,AUSTIN COUNTY,Grade 9,547
2023-2024,6,AUSTIN COUNTY,Grade 10,544
2023-2024,6,AUSTIN COUNTY,Grade 11,490
2023-2024,6,AUSTIN COUNTY,Grade 12,412
2023-2024,17,BAILEY COUNTY,Early Education,13
2023-2024,17,BAILEY COUNTY,Pre-kindergarten,79
2023-2024,17,BAILEY COUNTY,Kindergarten,94
2023-2024,17,BAILEY COUNTY,Grade 1,111
2023-2024,17,BAILEY COUNTY,Grade 2,94
2023-2024,17,BAILEY COUNTY,Grade 3,98
2023-2024,17,BAILEY COUNTY,Grade 4,102
2023-2024,17,BAILEY COUNTY,Grade 5,91
2023-2024,17,BAILEY COUNTY,Grade 6,97
2023-2024,17,BAILEY COUNTY,Grade 7,101
2023-2024,17,BAILEY COUNTY,Grade 8,88
2023-2024,17,BAILEY COUNTY,Grade 9,108
2023-2024,17,BAILEY COUNTY,Grade 10,95
2023-2024,17,BAILEY COUNTY,Grade 11,74
2023-2024,17,BAILEY COUNTY,Grade 12,76
2023-2024,20,BANDERA COUNTY,Early Education,15
2023-2024,20,BANDERA COUNTY,Pre-kindergarten,86
2023-2024,20,BANDERA COUNTY,Kindergarten,175
2023-2024,20,BANDERA COUNTY,Grade 1,191
2023-2024,20,BANDERA COUNTY,Grade 2,169
2023-2024,20,BANDERA COUNTY,Grade 3,190
2023-2024,20,BANDERA COUNTY,Grade 4,188
2023-2024,20,BANDERA COUNTY,Grade 5,209
2023-2024,20,BANDERA COUNTY,Grade 6,185
2023-2024,20,BANDERA COUNTY,Grade 7,197
2023-2024,20,BANDERA COUNTY,Grade 8,189
2023-2024,20,BANDERA COUNTY,Grade 9,214
2023-2024,20,BANDERA COUNTY,Grade 10,204
2023-2024,20,BANDERA COUNTY,Grade 11,179
2023-2024,20,BANDERA COUNTY,Grade 12,186
2023-2024,13,BASTROP COUNTY,Early Education,93
2023-2024,13,BASTROP COUNTY,Pre-kindergarten,920
2023-2024,13,BASTROP COUNTY,Kindergarten,1382
2023-2024,13,BASTROP COUNTY,Grade 1,1411
2023-2024,13,BASTROP COUNTY,Grade 2,1569
2023-2024,13,BASTROP COUNTY,Grade 3,1512
2023-2024,13,BASTROP COUNTY,Grade 4,1469
2023-2024,13,BASTROP COUNTY,Grade 5,1419
2023-2024,13,BASTROP COUNTY,Grade 6,1396
2023-2024,13,BASTROP COUNTY,Grade 7,1525
2023-2024,13,BASTROP COUNTY,Grade 8,1504
2023-2024,13,BASTROP COUNTY,Grade 9,1982
2023-2024,13,BASTROP COUNTY,Grade 10,1817
2023-2024,13,BASTROP COUNTY,Grade 11,1467
2023-2024,13,BASTROP COUNTY,Grade 12,1453
2023-2024,9,BAYLOR COUNTY,Early Education,2
2023-2024,9,BAYLOR COUNTY,Pre-kindergarten,32
2023-2024,9,BAYLOR COUNTY,Kindergarten,51
2023-2024,9,BAYLOR COUNTY,Grade 1,56
2023-2024,9,BAYLOR COUNTY,Grade 2,42
2023-2024,9,BAYLOR COUNTY,Grade 3,40
2023-2024,9,BAYLOR COUNTY,Grade 4,44
2023-2024,9,BAYLOR COUNTY,Grade 5,61
2023-2024,9,BAYLOR COUNTY,Grade 6,46
2023-2024,9,BAYLOR COUNTY,Grade 7,42
2023-2024,9,BAYLOR COUNTY,Grade 8,47
2023-2024,9,BAYLOR COUNTY,Grade 9,42
2023-2024,9,BAYLOR COUNTY,Grade 10,44
2023-2024,9,BAYLOR COUNTY,Grade 11,40
2023-2024,9,BAYLOR COUNTY,Grade 12,44
2023-2024,2,BEE COUNTY,Early Education,25
2023-2024,2,BEE COUNTY,Pre-kindergarten,636
2023-2024,2,BEE COUNTY,Kindergarten,326
2023-2024,2,BEE COUNTY,Grade 1,335
2023-2024,2,BEE COUNTY,Grade 2,371
2023-2024,2,BEE COUNTY,Grade 3,383
2023-2024,2,BEE COUNTY,Grade 4,346
2023-2024,2,BEE COUNTY,Grade 5,378
2023-2024,2,BEE COUNTY,Grade 6,326
2023-2024,2,BEE COUNTY,Grade 7,326
2023-2024,2,BEE COUNTY,Grade 8,333
2023-2024,2,BEE COUNTY,Grade 9,402
2023-2024,2,BEE COUNTY,Grade 10,391
2023-2024,2,BEE COUNTY,Grade 11,317
2023-2024,2,BEE COUNTY,Grade 12,270
2023-2024,12,BELL COUNTY,Early Education,465
2023-2024,13,BELL COUNTY,Early Education,5
2023-2024,12,BELL COUNTY,Pre-kindergarten,3738
2023-2024,13,BELL COUNTY,Pre-kindergarten,23
2023-2024,12,BELL COUNTY,Kindergarten,5322
2023-2024,13,BELL COUNTY,Kindergarten,31
2023-2024,12,BELL COUNTY,Grade 1,5790
2023-2024,13,BELL COUNTY,Grade 1,23
2023-2024,12,BELL COUNTY,Grade 2,5760
2023-2024,13,BELL COUNTY,Grade 2,36
2023-2024,12,BELL COUNTY,Grade 3,5813
2023-2024,13,BELL COUNTY,Grade 3,27
2023-2024,12,BELL COUNTY,Grade 4,5748
2023-2024,13,BELL COUNTY,Grade 4,34
2023-2024,12,BELL COUNTY,Grade 5,5678
2023-2024,13,BELL COUNTY,Grade 5,32
2023-2024,12,BELL COUNTY,Grade 6,5578
2023-2024,13,BELL COUNTY,Grade 6,26
2023-2024,12,BELL COUNTY,Grade 7,5488
2023-2024,13,BELL COUNTY,Grade 7,30
2023-2024,12,BELL COUNTY,Grade 8,5361
2023-2024,13,BELL COUNTY,Grade 8,29
2023-2024,12,BELL COUNTY,Grade 9,6183
2023-2024,13,BELL COUNTY,Grade 9,29
2023-2024,20,BELL COUNTY,Grade 9,324
2023-2024,12,BELL COUNTY,Grade 10,5642
2023-2024,13,BELL COUNTY,Grade 10,44
2023-2024,20,BELL COUNTY,Grade 10,434
2023-2024,12,BELL COUNTY,Grade 11,5080
2023-2024,13,BELL COUNTY,Grade 11,34
2023-2024,20,BELL COUNTY,Grade 11,378
2023-2024,12,BELL COUNTY,Grade 12,4598
2023-2024,13,BELL COUNTY,Grade 12,36
2023-2024,20,BELL COUNTY,Grade 12,314
2023-2024,20,BEXAR COUNTY,Early Education,1797
2023-2024,20,BEXAR COUNTY,Pre-kindergarten,18053
2023-2024,20,BEXAR COUNTY,Kindergarten,24297
2023-2024,20,BEXAR COUNTY,Grade 1,25731
2023-2024,20,BEXAR COUNTY,Grade 2,26583
2023-2024,20,BEXAR COUNTY,Grade 3,26362
2023-2024,20,BEXAR COUNTY,Grade 4,26002
2023-2024,20,BEXAR COUNTY,Grade 5,25815
2023-2024,20,BEXAR COUNTY,Grade 6,25737
2023-2024,20,BEXAR COUNTY,Grade 7,25537
2023-2024,20,BEXAR COUNTY,Grade 8,25729
2023-2024,20,BEXAR COUNTY,Grade 9,29418
2023-2024,20,BEXAR COUNTY,Grade 10,26560
2023-2024,20,BEXAR COUNTY,Grade 11,24137
2023-2024,20,BEXAR COUNTY,Grade 12,21906
2023-2024,13,BLANCO COUNTY,Early Education,7
2023-2024,13,BLANCO COUNTY,Pre-kindergarten,57
2023-2024,13,BLANCO COUNTY,Kindergarten,116
2023-2024,13,BLANCO COUNTY,Grade 1,122
2023-2024,13,BLANCO COUNTY,Grade 2,131
2023-2024,13,BLANCO COUNTY,Grade 3,133
2023-2024,13,BLANCO COUNTY,Grade 4,118
2023-2024,13,BLANCO COUNTY,Grade 5,123
2023-2024,13,BLANCO COUNTY,Grade 6,126
2023-2024,13,BLANCO COUNTY,Grade 7,140
2023-2024,13,BLANCO COUNTY,Grade 8,142
2023-2024,13,BLANCO COUNTY,Grade 9,158
2023-2024,13,BLANCO COUNTY,Grade 10,140
2023-2024,13,BLANCO COUNTY,Grade 11,173
2023-2024,13,BLANCO COUNTY,Grade 12,137
2023-2024,17,BORDEN COUNTY,Early Education,1
2023-2024,17,BORDEN COUNTY,Pre-kindergarten,14
2023-2024,17,BORDEN COUNTY,Kindergarten,18
2023-2024,17,BORDEN COUNTY,Grade 1,17
2023-2024,17,BORDEN COUNTY,Grade 2,21
2023-2024,17,BORDEN COUNTY,Grade 3,16
2023-2024,17,BORDEN COUNTY,Grade 4,16
2023-2024,17,BORDEN COUNTY,Grade 5,18
2023-2024,17,BORDEN COUNTY,Grade 6,8
2023-2024,17,BORDEN COUNTY,Grade 7,16
2023-2024,17,BORDEN COUNTY,Grade 8,16
2023-2024,17,BORDEN COUNTY,Grade 9,27
2023-2024,17,BORDEN COUNTY,Grade 10,18
2023-2024,17,BORDEN COUNTY,Grade 11,14
2023-2024,17,BORDEN COUNTY,Grade 12,22
2023-2024,12,BOSQUE COUNTY,Early Education,17
2023-2024,12,BOSQUE COUNTY,Pre-kindergarten,119
2023-2024,12,BOSQUE COUNTY,Kindergarten,192
2023-2024,12,BOSQUE COUNTY,Grade 1,175
2023-2024,12,BOSQUE COUNTY,Grade 2,216
2023-2024,12,BOSQUE COUNTY,Grade 3,192
2023-2024,12,BOSQUE COUNTY,Grade 4,191
2023-2024,12,BOSQUE COUNTY,Grade 5,225
2023-2024,12,BOSQUE COUNTY,Grade 6,193
2023-2024,12,BOSQUE COUNTY,Grade 7,209
2023-2024,12,BOSQUE COUNTY,Grade 8,202
2023-2024,12,BOSQUE COUNTY,Grade 9,249
2023-2024,12,BOSQUE COUNTY,Grade 10,256
2023-2024,12,BOSQUE COUNTY,Grade 11,211
2023-2024,12,BOSQUE COUNTY,Grade 12,165
2023-2024,8,BOWIE COUNTY,Early Education,68
2023-2024,8,BOWIE COUNTY,Pre-kindergarten,1089
2023-2024,8,BOWIE COUNTY,Kindergarten,1221
2023-2024,8,BOWIE COUNTY,Grade 1,1268
2023-2024,8,BOWIE COUNTY,Grade 2,1310
2023-2024,8,BOWIE COUNTY,Grade 3,1252
2023-2024,8,BOWIE COUNTY,Grade 4,1216
2023-2024,8,BOWIE COUNTY,Grade 5,1246
2023-2024,8,BOWIE COUNTY,Grade 6,1319
2023-2024,8,BOWIE COUNTY,Grade 7,1230
2023-2024,8,BOWIE COUNTY,Grade 8,1294
2023-2024,8,BOWIE COUNTY,Grade 9,1341
2023-2024,8,BOWIE COUNTY,Grade 10,1277
2023-2024,8,BOWIE COUNTY,Grade 11,1227
2023-2024,8,BOWIE COUNTY,Grade 12,1098
2023-2024,4,BRAZORIA COUNTY,Early Education,430
2023-2024,4,BRAZORIA COUNTY,Pre-kindergarten,2232
2023-2024,4,BRAZORIA COUNTY,Kindergarten,4650
2023-2024,4,BRAZORIA COUNTY,Grade 1,4959
2023-2024,4,BRAZORIA COUNTY,Grade 2,5258
2023-2024,4,BRAZORIA COUNTY,Grade 3,5394
2023-2024,4,BRAZORIA COUNTY,Grade 4,5483
2023-2024,4,BRAZORIA COUNTY,Grade 5,5459
2023-2024,4,BRAZORIA COUNTY,Grade 6,5569
2023-2024,4,BRAZORIA COUNTY,Grade 7,5633
2023-2024,4,BRAZORIA COUNTY,Grade 8,5919
2023-2024,4,BRAZORIA COUNTY,Grade 9,6542
2023-2024,4,BRAZORIA COUNTY,Grade 10,6190
2023-2024,4,BRAZORIA COUNTY,Grade 11,5884
2023-2024,4,BRAZORIA COUNTY,Grade 12,5324
2023-2024,6,BRAZOS COUNTY,Early Education,209
2023-2024,6,BRAZOS COUNTY,Pre-kindergarten,1224
2023-2024,6,BRAZOS COUNTY,Kindergarten,2190
2023-2024,6,BRAZOS COUNTY,Grade 1,2285
2023-2024,6,BRAZOS COUNTY,Grade 2,2422
2023-2024,6,BRAZOS COUNTY,Grade 3,2337
2023-2024,6,BRAZOS COUNTY,Grade 4,2332
2023-2024,6,BRAZOS COUNTY,Grade 5,2254
2023-2024,6,BRAZOS COUNTY,Grade 6,2167
2023-2024,6,BRAZOS COUNTY,Grade 7,2173
2023-2024,6,BRAZOS COUNTY,Grade 8,2191
2023-2024,6,BRAZOS COUNTY,Grade 9,2696
2023-2024,6,BRAZOS COUNTY,Grade 10,2468
2023-2024,6,BRAZOS COUNTY,Grade 11,2217
2023-2024,6,BRAZOS COUNTY,Grade 12,1984
2023-2024,18,BREWSTER COUNTY,Early Education,1
2023-2024,18,BREWSTER COUNTY,Pre-kindergarten,86
2023-2024,18,BREWSTER COUNTY,Kindergarten,68
2023-2024,18,BREWSTER COUNTY,Grade 1,69
2023-2024,18,BREWSTER COUNTY,Grade 2,74
2023-2024,18,BREWSTER COUNTY,Grade 3,63
2023-2024,18,BREWSTER COUNTY,Grade 4,81
2023-2024,18,BREWSTER COUNTY,Grade 5,63
2023-2024,18,BREWSTER COUNTY,Grade 6,89
2023-2024,18,BREWSTER COUNTY,Grade 7,72
2023-2024,18,BREWSTER COUNTY,Grade 8,82
2023-2024,18,BREWSTER COUNTY,Grade 9,92
2023-2024,18,BREWSTER COUNTY,Grade 10,86
2023-2024,18,BREWSTER COUNTY,Grade 11,93
2023-2024,18,BREWSTER COUNTY,Grade 12,96
2023-2024,16,BRISCOE COUNTY,Early Education,1
2023-2024,16,BRISCOE COUNTY,Pre-kindergarten,12
2023-2024,16,BRISCOE COUNTY,Kindergarten,15
2023-2024,16,BRISCOE COUNTY,Grade 1,14
2023-2024,16,BRISCOE COUNTY,Grade 2,19
2023-2024,16,BRISCOE COUNTY,Grade 3,18
2023-2024,16,BRISCOE COUNTY,Grade 4,10
2023-2024,16,BRISCOE COUNTY,Grade 5,13
2023-2024,16,BRISCOE COUNTY,Grade 6,20
2023-2024,16,BRISCOE COUNTY,Grade 7,17
2023-2024,16,BRISCOE COUNTY,Grade 8,12
2023-2024,16,BRISCOE COUNTY,Grade 9,21
2023-2024,16,BRISCOE COUNTY,Grade 10,17
2023-2024,16,BRISCOE COUNTY,Grade 11,12
2023-2024,16,BRISCOE COUNTY,Grade 12,22
2023-2024,1,BROOKS COUNTY,Pre-kindergarten,96
2023-2024,1,BROOKS COUNTY,Kindergarten,75
2023-2024,1,BROOKS COUNTY,Grade 1,62
2023-2024,1,BROOKS COUNTY,Grade 2,99
2023-2024,1,BROOKS COUNTY,Grade 3,75
2023-2024,1,BROOKS COUNTY,Grade 4,85
2023-2024,1,BROOKS COUNTY,Grade 5,72
2023-2024,1,BROOKS COUNTY,Grade 6,107
2023-2024,1,BROOKS COUNTY,Grade 7,90
2023-2024,1,BROOKS COUNTY,Grade 8,98
2023-2024,1,BROOKS COUNTY,Grade 9,97
2023-2024,1,BROOKS COUNTY,Grade 10,102
2023-2024,1,BROOKS COUNTY,Grade 11,101
2023-2024,1,BROOKS COUNTY,Grade 12,85
2023-2024,15,BROWN COUNTY,Early Education,34
2023-2024,15,BROWN COUNTY,Pre-kindergarten,334
2023-2024,15,BROWN COUNTY,Kindergarten,435
2023-2024,15,BROWN COUNTY,Grade 1,435
2023-2024,15,BROWN COUNTY,Grade 2,439
2023-2024,15,BROWN COUNTY,Grade 3,414
2023-2024,15,BROWN COUNTY,Grade 4,452
2023-2024,15,BROWN COUNTY,Grade 5,442
2023-2024,15,BROWN COUNTY,Grade 6,455
2023-2024,15,BROWN COUNTY,Grade 7,433
2023-2024,15,BROWN COUNTY,Grade 8,460
2023-2024,15,BROWN COUNTY,Grade 9,498
2023-2024,15,BROWN COUNTY,Grade 10,499
2023-2024,15,BROWN COUNTY,Grade 11,453
2023-2024,15,BROWN COUNTY,Grade 12,380
2023-2024,6,BURLESON COUNTY,Early Education,36
2023-2024,6,BURLESON COUNTY,Pre-kindergarten,132
2023-2024,6,BURLESON COUNTY,Kindergarten,195
2023-2024,6,BURLESON COUNTY,Grade 1,215
2023-2024,6,BURLESON COUNTY,Grade 2,215
2023-2024,6,BURLESON COUNTY,Grade 3,221
2023-2024,6,BURLESON COUNTY,Grade 4,254
2023-2024,6,BURLESON COUNTY,Grade 5,230
2023-2024,6,BURLESON COUNTY,Grade 6,227
2023-2024,6,BURLESON COUNTY,Grade 7,240
2023-2024,6,BURLESON COUNTY,Grade 8,230
2023-2024,6,BURLESON COUNTY,Grade 9,243
2023-2024,6,BURLESON COUNTY,Grade 10,252
2023-2024,6,BURLESON COUNTY,Grade 11,232
2023-2024,6,BURLESON COUNTY,Grade 12,185
2023-2024,13,BURNET COUNTY,Early Education,44
2023-2024,13,BURNET COUNTY,Pre-kindergarten,333
2023-2024,13,BURNET COUNTY,Kindergarten,496
2023-2024,13,BURNET COUNTY,Grade 1,479
2023-2024,13,BURNET COUNTY,Grade 2,561
2023-2024,13,BURNET COUNTY,Grade 3,559
2023-2024,13,BURNET COUNTY,Grade 4,543
2023-2024,13,BURNET COUNTY,Grade 5,531
2023-2024,13,BURNET COUNTY,Grade 6,529
2023-2024,13,BURNET COUNTY,Grade 7,511
2023-2024,13,BURNET COUNTY,Grade 8,559
2023-2024,13,BURNET COUNTY,Grade 9,602
2023-2024,13,BURNET COUNTY,Grade 10,560
2023-2024,13,BURNET COUNTY,Grade 11,537
2023-2024,13,BURNET COUNTY,Grade 12,489
2023-2024,13,CALDWELL COUNTY,Early Education,39
2023-2024,13,CALDWELL COUNTY,Pre-kindergarten,373
2023-2024,13,CALDWELL COUNTY,Kindergarten,565
2023-2024,13,CALDWELL COUNTY,Grade 1,541
2023-2024,13,CALDWELL COUNTY,Grade 2,603
2023-2024,13,CALDWELL COUNTY,Grade 3,631
2023-2024,13,CALDWELL COUNTY,Grade 4,600
2023-2024,13,CALDWELL COUNTY,Grade 5,595
2023-2024,13,CALDWELL COUNTY,Grade 6,599
2023-2024,13,CALDWELL COUNTY,Grade 7,611
2023-2024,13,CALDWELL COUNTY,Grade 8,576
2023-2024,13,CALDWELL COUNTY,Grade 9,819
2023-2024,13,CALDWELL COUNTY,Grade 10,645
2023-2024,13,CALDWELL COUNTY,Grade 11,588
2023-2024,13,CALDWELL COUNTY,Grade 12,510
2023-2024,3,CALHOUN COUNTY,Early Education,21
2023-2024,3,CALHOUN COUNTY,Pre-kindergarten,189
2023-2024,3,CALHOUN COUNTY,Kindergarten,234
2023-2024,3,CALHOUN COUNTY,Grade 1,253
2023-2024,3,CALHOUN COUNTY,Grade 2,280
2023-2024,3,CALHOUN COUNTY,Grade 3,236
2023-2024,3,CALHOUN COUNTY,Grade 4,258
2023-2024,3,CALHOUN COUNTY,Grade 5,258
2023-2024,3,CALHOUN COUNTY,Grade 6,250
2023-2024,3,CALHOUN COUNTY,Grade 7,260
2023-2024,3,CALHOUN COUNTY,Grade 8,269
2023-2024,3,CALHOUN COUNTY,Grade 9,252
2023-2024,3,CALHOUN COUNTY,Grade 10,264
2023-2024,3,CALHOUN COUNTY,Grade 11,269
2023-2024,3,CALHOUN COUNTY,Grade 12,240
2023-2024,14,CALLAHAN COUNTY,Early Education,3
2023-2024,14,CALLAHAN COUNTY,Pre-kindergarten,142
2023-2024,14,CALLAHAN COUNTY,Kindergarten,184
2023-2024,14,CALLAHAN COUNTY,Grade 1,183
2023-2024,14,CALLAHAN COUNTY,Grade 2,192
2023-2024,14,CALLAHAN COUNTY,Grade 3,213
2023-2024,14,CALLAHAN COUNTY,Grade 4,187
2023-2024,14,CALLAHAN COUNTY,Grade 5,201
2023-2024,14,CALLAHAN COUNTY,Grade 6,187
2023-2024,14,CALLAHAN COUNTY,Grade 7,162
2023-2024,14,CALLAHAN COUNTY,Grade 8,205
2023-2024,14,CALLAHAN COUNTY,Grade 9,198
2023-2024,14,CALLAHAN COUNTY,Grade 10,186
2023-2024,14,CALLAHAN COUNTY,Grade 11,190
2023-2024,14,CALLAHAN COUNTY,Grade 12,170
2023-2024,1,CAMERON COUNTY,Early Education,156
2023-2024,1,CAMERON COUNTY,Pre-kindergarten,6167
2023-2024,1,CAMERON COUNTY,Kindergarten,4653
2023-2024,1,CAMERON COUNTY,Grade 1,5125
2023-2024,1,CAMERON COUNTY,Grade 2,5440
2023-2024,1,CAMERON COUNTY,Grade 3,5402
2023-2024,1,CAMERON COUNTY,Grade 4,5344
2023-2024,1,CAMERON COUNTY,Grade 5,5537
2023-2024,1,CAMERON COUNTY,Grade 6,6103
2023-2024,1,CAMERON COUNTY,Grade 7,6348
2023-2024,1,CAMERON COUNTY,Grade 8,6301
2023-2024,1,CAMERON COUNTY,Grade 9,7875
2023-2024,1,CAMERON COUNTY,Grade 10,7652
2023-2024,1,CAMERON COUNTY,Grade 11,7083
2023-2024,1,CAMERON COUNTY,Grade 12,6566
2023-2024,8,CAMP COUNTY,Early Education,12
2023-2024,8,CAMP COUNTY,Pre-kindergarten,81
2023-2024,8,CAMP COUNTY,Kindergarten,175
2023-2024,8,CAMP COUNTY,Grade 1,181
2023-2024,8,CAMP COUNTY,Grade 2,146
2023-2024,8,CAMP COUNTY,Grade 3,166
2023-2024,8,CAMP COUNTY,Grade 4,191
2023-2024,8,CAMP COUNTY,Grade 5,171
2023-2024,8,CAMP COUNTY,Grade 6,147
2023-2024,8,CAMP COUNTY,Grade 7,155
2023-2024,8,CAMP COUNTY,Grade 8,186
2023-2024,8,CAMP COUNTY,Grade 9,165
