T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2023-2024,7,ANDERSON COUNTY,Early Education,18
2023-2024,7,ANDERSON COUNTY,Pre-kindergarten,442
2023-2024,7,ANDERSON COUNTY,Kindergarten,557
2023-2024,7,ANDERSON COUNTY,Grade 1,564
2023-2024,7,ANDERSON COUNTY,Grade 2,556
2023-2024,7,ANDERSON COUNTY,Grade 3,536
2023-2024,7,ANDERSON COUNTY,Grade 4,563
2023-2024,7,ANDERSON COUNTY,Grade 5,572
2023-2024,7,ANDERSON COUNTY,Grade 6,552
2023-2024,7,ANDERSON COUNTY,Grade 7,570
2023-2024,7,ANDERSON COUNTY,Grade 8,585
2023-2024,7,ANDERSON COUNTY,Grade 9,659
2023-2024,7,ANDERSON COUNTY,Grade 10,622
2023-2024,7,ANDERSON COUNTY,Grade 11,575
2023-2024,7,ANDERSON COUNTY,Grade 12,487
2023-2024,18,ANDREWS COUNTY,Early Education,31
2023-2024,18,ANDREWS COUNTY,Pre-kindergarten,100
2023-2024,18,ANDREWS COUNTY,Kindergarten,298
2023-2024,18,ANDREWS COUNTY,Grade 1,320
2023-2024,18,ANDREWS COUNTY,Grade 2,337
2023-2024,18,ANDREWS COUNTY,Grade 3,350
2023-2024,18,ANDREWS COUNTY,Grade 4,306
2023-2024,18,ANDREWS COUNTY,Grade 5,343
2023-2024,18,ANDREWS COUNTY,Grade 6,329
2023-2024,18,ANDREWS COUNTY,Grade 7,311
2023-2024,18,ANDREWS COUNTY,Grade 8,301
2023-2024,18,ANDREWS COUNTY,Grade 9,355
2023-2024,18,ANDREWS COUNTY,Grade 10,308
2023-2024,18,ANDREWS COUNTY,Grade 11,326
2023-2024,18,ANDREWS COUNTY,Grade 12,254
2023-2024,7,ANGELINA COUNTY,Early Education,67
2023-2024,7,ANGELINA COUNTY,Pre-kindergarten,769
2023-2024,7,ANGELINA COUNTY,Kindergarten,1102
2023-2024,7,ANGELINA COUNTY,Grade 1,1112
2023-2024,7,ANGELINA COUNTY,Grade 2,1173
2023-2024,7,ANGELINA COUNTY,Grade 3,1111
2023-2024,7,ANGELINA COUNTY,Grade 4,1179
2023-2024,7,ANGELINA COUNTY,Grade 5,1142
2023-2024,7,ANGELINA COUNTY,Grade 6,1193
2023-2024,7,ANGELINA COUNTY,Grade 7,1153
2023-2024,7,ANGELINA COUNTY,Grade 8,1133
2023-2024,7,ANGELINA COUNTY,Grade 9,1267
2023-2024,7,ANGELINA COUNTY,Grade 10,1226
2023-2024,7,ANGELINA COUNTY,Grade 11,1186
2023-2024,7,ANGELINA COUNTY,Grade 12,1058
2023-2024,2,ARANSAS COUNTY,Early Education,8
2023-2024,2,ARANSAS COUNTY,Pre-kindergarten,150
2023-2024,2,ARANSAS COUNTY,Kindergarten,193
2023-2024,2,ARANSAS COUNTY,Grade 1,200
2023-2024,2,ARANSAS COUNTY,Grade 2,205
2023-2024,2,ARANSAS COUNTY,Grade 3,182
