T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2020-2021,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2020-2021,7,ANDERSON COUNTY,Early Education,7
2020-2021,7,ANDERSON COUNTY,Pre-kindergarten,408
2020-2021,7,ANDERSON COUNTY,Kindergarten,535
2020-2021,7,ANDERSON COUNTY,Grade 1,581
2020-2021,7,ANDERSON COUNTY,Grade 2,562
2020-2021,7,ANDERSON COUNTY,Grade 3,523
2020-2021,7,ANDERSON COUNTY,Grade 4,565
2020-2021,7,ANDERSON COUNTY,Grade 5,559
2020-2021,7,ANDERSON COUNTY,Grade 6,629
2020-2021,7,ANDERSON COUNTY,Grade 7,599
2020-2021,7,ANDERSON COUNTY,Grade 8,593
2020-2021,7,ANDERSON COUNTY,Grade 9,638
2020-2021,7,ANDERSON COUNTY,Grade 10,625
2020-2021,7,ANDERSON COUNTY,Grade 11,615
2020-2021,7,ANDERSON COUNTY,Grade 12,522
2020-2021,18,ANDREWS COUNTY,Early Education,9
2020-2021,18,ANDREWS COUNTY,Pre-kindergarten,82
2020-2021,18,ANDREWS COUNTY,Kindergarten,324
2020-2021,18,ANDREWS COUNTY,Grade 1,294
2020-2021,18,ANDREWS COUNTY,Grade 2,332
2020-2021,18,ANDREWS COUNTY,Grade 3,317
2020-2021,18,ANDREWS COUNTY,Grade 4,292
2020-2021,18,ANDREWS COUNTY,Grade 5,284
2020-2021,18,ANDREWS COUNTY,Grade 6,330
2020-2021,18,ANDREWS COUNTY,Grade 7,318
2020-2021,18,ANDREWS COUNTY,Grade 8,343
2020-2021,18,ANDREWS COUNTY,Grade 9,322
2020-2021,18,ANDREWS COUNTY,Grade 10,315
2020-2021,18,ANDREWS COUNTY,Grade 11,295
2020-2021,18,ANDREWS COUNTY,Grade 12,271
2020-2021,7,ANGELINA COUNTY,Early Education,48
2020-2021,7,ANGELINA COUNTY,Pre-kindergarten,708
2020-2021,7,ANGELINA COUNTY,Kindergarten,1140
2020-2021,7,ANGELINA COUNTY,Grade 1,1206
2020-2021,7,ANGELINA COUNTY,Grade 2,1183
2020-2021,7,ANGELINA COUNTY,Grade 3,1188
2020-2021,7,ANGELINA COUNTY,Grade 4,1126
2020-2021,7,ANGELINA COUNTY,Grade 5,1127
2020-2021,7,ANGELINA COUNTY,Grade 6,1216
2020-2021,7,ANGELINA COUNTY,Grade 7,1264
2020-2021,7,ANGELINA COUNTY,Grade 8,1306
2020-2021,7,ANGELINA COUNTY,Grade 9,1263
2020-2021,7,ANGELINA COUNTY,Grade 10,1204
2020-2021,7,ANGELINA COUNTY,Grade 11,1218
2020-2021,7,ANGELINA COUNTY,Grade 12,1035
2020-2021,2,ARANSAS COUNTY,Early Education,6
2020-2021,2,ARANSAS COUNTY,Pre-kindergarten,129
2020-2021,2,ARANSAS COUNTY,Kindergarten,159
2020-2021,2,ARANSAS COUNTY,Grade 1,216
2020-2021,2,ARANSAS COUNTY,Grade 2,195
2020-2021,2,ARANSAS COUNTY,Grade 3,213
2020-2021,2,ARANSAS COUNTY,Grade 4,213
2020-2021,2,ARANSAS COUNTY,Grade 5,249
2020-2021,2,ARANSAS COUNTY,Grade 6,219
2020-2021,2,ARANSAS COUNTY,Grade 7,258
2020-2021,2,ARANSAS COUNTY,Grade 8,232
2020-2021,2,ARANSAS COUNTY,Grade 9,243
2020-2021,2,ARANSAS COUNTY,Grade 10,261
2020-2021,2,ARANSAS COUNTY,Grade 11,262
2020-2021,2,ARANSAS COUNTY,Grade 12,155
2020-2021,9,ARCHER COUNTY,Early Education,3
2020-2021,9,ARCHER COUNTY,Pre-kindergarten,94
2020-2021,9,ARCHER COUNTY,Kindergarten,154
2020-2021,9,ARCHER COUNTY,Grade 1,133
2020-2021,9,ARCHER COUNTY,Grade 2,142
2020-2021,9,ARCHER COUNTY,Grade 3,137
2020-2021,9,ARCHER COUNTY,Grade 4,138
2020-2021,9,ARCHER COUNTY,Grade 5,127
2020-2021,9,ARCHER COUNTY,Grade 6,158
2020-2021,9,ARCHER COUNTY,Grade 7,158
2020-2021,9,ARCHER COUNTY,Grade 8,161
2020-2021,9,ARCHER COUNTY,Grade 9,154
2020-2021,9,ARCHER COUNTY,Grade 10,151
2020-2021,9,ARCHER COUNTY,Grade 11,163
2020-2021,9,ARCHER COUNTY,Grade 12,132
2020-2021,16,ARMSTRONG COUNTY,Early Education,2
2020-2021,16,ARMSTRONG COUNTY,Pre-kindergarten,14
2020-2021,16,ARMSTRONG COUNTY,Kindergarten,19
2020-2021,16,ARMSTRONG COUNTY,Grade 1,20
2020-2021,16,ARMSTRONG COUNTY,Grade 2,32
2020-2021,16,ARMSTRONG COUNTY,Grade 3,19
2020-2021,16,ARMSTRONG COUNTY,Grade 4,25
2020-2021,16,ARMSTRONG COUNTY,Grade 5,25
2020-2021,16,ARMSTRONG COUNTY,Grade 6,27
2020-2021,16,ARMSTRONG COUNTY,Grade 7,22
2020-2021,16,ARMSTRONG COUNTY,Grade 8,22
2020-2021,16,ARMSTRONG COUNTY,Grade 9,25
2020-2021,16,ARMSTRONG COUNTY,Grade 10,25
2020-2021,16,ARMSTRONG COUNTY,Grade 11,17
2020-2021,16,ARMSTRONG COUNTY,Grade 12,22
2020-2021,20,ATASCOSA COUNTY,Early Education,35
2020-2021,20,ATASCOSA COUNTY,Pre-kindergarten,361
2020-2021,20,ATASCOSA COUNTY,Kindergarten,627
2020-2021,20,ATASCOSA COUNTY,Grade 1,605
2020-2021,20,ATASCOSA COUNTY,Grade 2,640
2020-2021,20,ATASCOSA COUNTY,Grade 3,629
2020-2021,20,ATASCOSA COUNTY,Grade 4,644
2020-2021,20,ATASCOSA COUNTY,Grade 5,663
2020-2021,20,ATASCOSA COUNTY,Grade 6,712
2020-2021,20,ATASCOSA COUNTY,Grade 7,657
2020-2021,20,ATASCOSA COUNTY,Grade 8,721
2020-2021,20,ATASCOSA COUNTY,Grade 9,682
2020-2021,20,ATASCOSA COUNTY,Grade 10,627
2020-2021,20,ATASCOSA COUNTY,Grade 11,638
2020-2021,20,ATASCOSA COUNTY,Grade 12,540
2020-2021,6,AUSTIN COUNTY,Early Education,32
2020-2021,6,AUSTIN COUNTY,Pre-kindergarten,174
2020-2021,6,AUSTIN COUNTY,Kindergarten,412
2020-2021,6,AUSTIN COUNTY,Grade 1,369
2020-2021,6,AUSTIN COUNTY,Grade 2,384
2020-2021,6,AUSTIN COUNTY,Grade 3,424
2020-2021,6,AUSTIN COUNTY,Grade 4,382
2020-2021,6,AUSTIN COUNTY,Grade 5,450
2020-2021,6,AUSTIN COUNTY,Grade 6,451
2020-2021,6,AUSTIN COUNTY,Grade 7,477
2020-2021,6,AUSTIN COUNTY,Grade 8,476
2020-2021,6,AUSTIN COUNTY,Grade 9,450
2020-2021,6,AUSTIN COUNTY,Grade 10,450
2020-2021,6,AUSTIN COUNTY,Grade 11,445
2020-2021,6,AUSTIN COUNTY,Grade 12,429
2020-2021,17,BAILEY COUNTY,Early Education,12
2020-2021,17,BAILEY COUNTY,Pre-kindergarten,62
2020-2021,17,BAILEY COUNTY,Kindergarten,100
2020-2021,17,BAILEY COUNTY,Grade 1,87
2020-2021,17,BAILEY COUNTY,Grade 2,84
2020-2021,17,BAILEY COUNTY,Grade 3,95
2020-2021,17,BAILEY COUNTY,Grade 4,116
2020-2021,17,BAILEY COUNTY,Grade 5,92
2020-2021,17,BAILEY COUNTY,Grade 6,113
2020-2021,17,BAILEY COUNTY,Grade 7,104
2020-2021,17,BAILEY COUNTY,Grade 8,110
2020-2021,17,BAILEY COUNTY,Grade 9,102
2020-2021,17,BAILEY COUNTY,Grade 10,97
2020-2021,17,BAILEY COUNTY,Grade 11,87
2020-2021,17,BAILEY COUNTY,Grade 12,76
2020-2021,20,BANDERA COUNTY,Early Education,12
2020-2021,20,BANDERA COUNTY,Pre-kindergarten,96
2020-2021,20,BANDERA COUNTY,Kindergarten,179
2020-2021,20,BANDERA COUNTY,Grade 1,182
2020-2021,20,BANDERA COUNTY,Grade 2,179
2020-2021,20,BANDERA COUNTY,Grade 3,176
2020-2021,20,BANDERA COUNTY,Grade 4,174
2020-2021,20,BANDERA COUNTY,Grade 5,163
2020-2021,20,BANDERA COUNTY,Grade 6,202
2020-2021,20,BANDERA COUNTY,Grade 7,201
2020-2021,20,BANDERA COUNTY,Grade 8,189
2020-2021,20,BANDERA COUNTY,Grade 9,225
2020-2021,20,BANDERA COUNTY,Grade 10,182
2020-2021,20,BANDERA COUNTY,Grade 11,177
2020-2021,20,BANDERA COUNTY,Grade 12,155
2020-2021,13,BASTROP COUNTY,Early Education,70
2020-2021,13,BASTROP COUNTY,Pre-kindergarten,601
2020-2021,13,BASTROP COUNTY,Kindergarten,1214
2020-2021,13,BASTROP COUNTY,Grade 1,1285
2020-2021,13,BASTROP COUNTY,Grade 2,1212
