T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2025-2026,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2025-2026,7,ANDERSON COUNTY,Early Education,10
2025-2026,7,ANDERSON COUNTY,Pre-kindergarten,442
2025-2026,7,ANDERSON COUNTY,Kindergarten,506
2025-2026,7,ANDERSON COUNTY,Grade 1,530
2025-2026,7,ANDERSON COUNTY,Grade 2,564
2025-2026,7,ANDERSON COUNTY,Grade 3,537
2025-2026,7,ANDERSON COUNTY,Grade 4,537
2025-2026,7,ANDERSON COUNTY,Grade 5,519
2025-2026,7,ANDERSON COUNTY,Grade 6,570
2025-2026,7,ANDERSON COUNTY,Grade 7,604
2025-2026,7,ANDERSON COUNTY,Grade 8,559
2025-2026,7,ANDERSON COUNTY,Grade 9,608
2025-2026,7,ANDERSON COUNTY,Grade 10,575
2025-2026,7,ANDERSON COUNTY,Grade 11,579
2025-2026,7,ANDERSON COUNTY,Grade 12,514
2025-2026,18,ANDREWS COUNTY,Early Education,28
2025-2026,18,ANDREWS COUNTY,Pre-kindergarten,114
2025-2026,18,ANDREWS COUNTY,Kindergarten,281
2025-2026,18,ANDREWS COUNTY,Grade 1,308
2025-2026,18,ANDREWS COUNTY,Grade 2,293
2025-2026,18,ANDREWS COUNTY,Grade 3,305
2025-2026,18,ANDREWS COUNTY,Grade 4,329
2025-2026,18,ANDREWS COUNTY,Grade 5,352
2025-2026,18,ANDREWS COUNTY,Grade 6,297
2025-2026,18,ANDREWS COUNTY,Grade 7,344
2025-2026,18,ANDREWS COUNTY,Grade 8,313
2025-2026,18,ANDREWS COUNTY,Grade 9,332
2025-2026,18,ANDREWS COUNTY,Grade 10,298
2025-2026,18,ANDREWS COUNTY,Grade 11,300
2025-2026,18,ANDREWS COUNTY,Grade 12,273
2025-2026,7,ANGELINA COUNTY,Early Education,70
2025-2026,7,ANGELINA COUNTY,Pre-kindergarten,642
