T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2024-2025,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2024-2025,7,ANDERSON COUNTY,Early Education,8
2024-2025,7,ANDERSON COUNTY,Pre-kindergarten,441
2024-2025,7,ANDERSON COUNTY,Kindergarten,538
2024-2025,7,ANDERSON COUNTY,Grade 1,558
2024-2025,7,ANDERSON COUNTY,Grade 2,549
2024-2025,7,ANDERSON COUNTY,Grade 3,553
2024-2025,7,ANDERSON COUNTY,Grade 4,529
2024-2025,7,ANDERSON COUNTY,Grade 5,568
2024-2025,7,ANDERSON COUNTY,Grade 6,588
2024-2025,7,ANDERSON COUNTY,Grade 7,560
2024-2025,7,ANDERSON COUNTY,Grade 8,577
2024-2025,7,ANDERSON COUNTY,Grade 9,601
2024-2025,7,ANDERSON COUNTY,Grade 10,619
2024-2025,7,ANDERSON COUNTY,Grade 11,597
2024-2025,7,ANDERSON COUNTY,Grade 12,522
2024-2025,18,ANDREWS COUNTY,Early Education,22
2024-2025,18,ANDREWS COUNTY,Pre-kindergarten,110
2024-2025,18,ANDREWS COUNTY,Kindergarten,287
2024-2025,18,ANDREWS COUNTY,Grade 1,302
2024-2025,18,ANDREWS COUNTY,Grade 2,322
2024-2025,18,ANDREWS COUNTY,Grade 3,327
2024-2025,18,ANDREWS COUNTY,Grade 4,341
2024-2025,18,ANDREWS COUNTY,Grade 5,297
2024-2025,18,ANDREWS COUNTY,Grade 6,334
2024-2025,18,ANDREWS COUNTY,Grade 7,323
2024-2025,18,ANDREWS COUNTY,Grade 8,313
2024-2025,18,ANDREWS COUNTY,Grade 9,323
2024-2025,18,ANDREWS COUNTY,Grade 10,319
2024-2025,18,ANDREWS COUNTY,Grade 11,298
2024-2025,18,ANDREWS COUNTY,Grade 12,291
2024-2025,7,ANGELINA COUNTY,Early Education,74
2024-2025,7,ANGELINA COUNTY,Pre-kindergarten,716
2024-2025,7,ANGELINA COUNTY,Kindergarten,1051
2024-2025,7,ANGELINA COUNTY,Grade 1,1120
2024-2025,7,ANGELINA COUNTY,Grade 2,1098
2024-2025,7,ANGELINA COUNTY,Grade 3,1165
2024-2025,7,ANGELINA COUNTY,Grade 4,1122
2024-2025,7,ANGELINA COUNTY,Grade 5,1167
2024-2025,7,ANGELINA COUNTY,Grade 6,1140
2024-2025,7,ANGELINA COUNTY,Grade 7,1217
2024-2025,7,ANGELINA COUNTY,Grade 8,1129
2024-2025,7,ANGELINA COUNTY,Grade 9,1189
2024-2025,7,ANGELINA COUNTY,Grade 10,1185
2024-2025,7,ANGELINA COUNTY,Grade 11,1171
2024-2025,7,ANGELINA COUNTY,Grade 12,1105
2024-2025,2,ARANSAS COUNTY,Early Education,4
2024-2025,2,ARANSAS COUNTY,Pre-kindergarten,143
2024-2025,2,ARANSAS COUNTY,Kindergarten,163
2024-2025,2,ARANSAS COUNTY,Grade 1,197
2024-2025,2,ARANSAS COUNTY,Grade 2,204
2024-2025,2,ARANSAS COUNTY,Grade 3,205
2024-2025,2,ARANSAS COUNTY,Grade 4,190
2024-2025,2,ARANSAS COUNTY,Grade 5,224
2024-2025,2,ARANSAS COUNTY,Grade 6,211
2024-2025,2,ARANSAS COUNTY,Grade 7,220
2024-2025,2,ARANSAS COUNTY,Grade 8,234
2024-2025,2,ARANSAS COUNTY,Grade 9,261
2024-2025,2,ARANSAS COUNTY,Grade 10,218
2024-2025,2,ARANSAS COUNTY,Grade 11,231
2024-2025,2,ARANSAS COUNTY,Grade 12,208
2024-2025,9,ARCHER COUNTY,Early Education,5
2024-2025,9,ARCHER COUNTY,Pre-kindergarten,75
2024-2025,9,ARCHER COUNTY,Kindergarten,137
2024-2025,9,ARCHER COUNTY,Grade 1,129
2024-2025,9,ARCHER COUNTY,Grade 2,148
2024-2025,9,ARCHER COUNTY,Grade 3,161
2024-2025,9,ARCHER COUNTY,Grade 4,176
2024-2025,9,ARCHER COUNTY,Grade 5,159
2024-2025,9,ARCHER COUNTY,Grade 6,155
2024-2025,9,ARCHER COUNTY,Grade 7,163
2024-2025,9,ARCHER COUNTY,Grade 8,155
2024-2025,9,ARCHER COUNTY,Grade 9,152
2024-2025,9,ARCHER COUNTY,Grade 10,169
2024-2025,9,ARCHER COUNTY,Grade 11,169
2024-2025,9,ARCHER COUNTY,Grade 12,157
2024-2025,16,ARMSTRONG COUNTY,Early Education,2
2024-2025,16,ARMSTRONG COUNTY,Pre-kindergarten,9
2024-2025,16,ARMSTRONG COUNTY,Kindergarten,13
2024-2025,16,ARMSTRONG COUNTY,Grade 1,23
2024-2025,16,ARMSTRONG COUNTY,Grade 2,21
2024-2025,16,ARMSTRONG COUNTY,Grade 3,21
2024-2025,16,ARMSTRONG COUNTY,Grade 4,19
2024-2025,16,ARMSTRONG COUNTY,Grade 5,33
2024-2025,16,ARMSTRONG COUNTY,Grade 6,32
