T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,6,AUSTIN COUNTY,Grade  2,421
2014-2015,6,AUSTIN COUNTY,Grade  3,398
2014-2015,6,AUSTIN COUNTY,Grade  4,412
2014-2015,6,AUSTIN COUNTY,Grade  5,415
2014-2015,6,AUSTIN COUNTY,Grade  6,452
2014-2015,6,AUSTIN COUNTY,Grade  7,434
2014-2015,6,AUSTIN COUNTY,Grade  8,464
2014-2015,6,AUSTIN COUNTY,Grade  9,497
2014-2015,6,AUSTIN COUNTY,Grade 10,445
2014-2015,6,AUSTIN COUNTY,Grade 11,419
2014-2015,6,AUSTIN COUNTY,Grade 12,374
2014-2015,17,BAILEY COUNTY,Early Education,11
2014-2015,17,BAILEY COUNTY,Pre-kindergarten,88
2014-2015,17,BAILEY COUNTY,Kindergarten,113
2014-2015,17,BAILEY COUNTY,Grade  1,115
2014-2015,17,BAILEY COUNTY,Grade  2,113
2014-2015,17,BAILEY COUNTY,Grade  3,106
2014-2015,17,BAILEY COUNTY,Grade  4,113
2014-2015,17,BAILEY COUNTY,Grade  5,101
2014-2015,17,BAILEY COUNTY,Grade  6,91
2014-2015,17,BAILEY COUNTY,Grade  7,99
2014-2015,17,BAILEY COUNTY,Grade  8,110
2014-2015,17,BAILEY COUNTY,Grade  9,101
2014-2015,17,BAILEY COUNTY,Grade 10,82
2014-2015,17,BAILEY COUNTY,Grade 11,87
2014-2015,17,BAILEY COUNTY,Grade 12,93
2014-2015,20,BANDERA COUNTY,Early Education,14
2014-2015,20,BANDERA COUNTY,Pre-kindergarten,119
2014-2015,20,BANDERA COUNTY,Kindergarten,166
2014-2015,20,BANDERA COUNTY,Grade  1,205
2014-2015,20,BANDERA COUNTY,Grade  2,184
2014-2015,20,BANDERA COUNTY,Grade  3,168
2014-2015,20,BANDERA COUNTY,Grade  4,197
2014-2015,20,BANDERA COUNTY,Grade  5,177
2014-2015,20,BANDERA COUNTY,Grade  6,176
2014-2015,20,BANDERA COUNTY,Grade  7,184
2014-2015,20,BANDERA COUNTY,Grade  8,199
2014-2015,20,BANDERA COUNTY,Grade  9,200
2014-2015,20,BANDERA COUNTY,Grade 10,183
2014-2015,20,BANDERA COUNTY,Grade 11,213
2014-2015,20,BANDERA COUNTY,Grade 12,164
2014-2015,13,BASTROP COUNTY,Early Education,59
2014-2015,13,BASTROP COUNTY,Pre-kindergarten,635
2014-2015,13,BASTROP COUNTY,Kindergarten,1153
2014-2015,13,BASTROP COUNTY,Grade  1,1183
2014-2015,13,BASTROP COUNTY,Grade  2,1223
2014-2015,13,BASTROP COUNTY,Grade  3,1247
2014-2015,13,BASTROP COUNTY,Grade  4,1180
2014-2015,13,BASTROP COUNTY,Grade  5,1202
2014-2015,13,BASTROP COUNTY,Grade  6,1176
2014-2015,13,BASTROP COUNTY,Grade  7,1212
2014-2015,13,BASTROP COUNTY,Grade  8,1231
2014-2015,13,BASTROP COUNTY,Grade  9,1480
2014-2015,13,BASTROP COUNTY,Grade 10,1127
2014-2015,13,BASTROP COUNTY,Grade 11,1113
2014-2015,13,BASTROP COUNTY,Grade 12,953
2014-2015,9,BAYLOR COUNTY,Early Education,-9999999
2014-2015,9,BAYLOR COUNTY,Pre-kindergarten,25
2014-2015,9,BAYLOR COUNTY,Kindergarten,53
2014-2015,9,BAYLOR COUNTY,Grade  1,43
2014-2015,9,BAYLOR COUNTY,Grade  2,39
2014-2015,9,BAYLOR COUNTY,Grade  3,46
2014-2015,9,BAYLOR COUNTY,Grade  4,58
2014-2015,9,BAYLOR COUNTY,Grade  5,46
2014-2015,9,BAYLOR COUNTY,Grade  6,40
2014-2015,9,BAYLOR COUNTY,Grade  7,35
2014-2015,9,BAYLOR COUNTY,Grade  8,44
2014-2015,9,BAYLOR COUNTY,Grade  9,39
2014-2015,9,BAYLOR COUNTY,Grade 10,49
2014-2015,9,BAYLOR COUNTY,Grade 11,38
2014-2015,9,BAYLOR COUNTY,Grade 12,35
2014-2015,2,BEE COUNTY,Early Education,20
2014-2015,2,BEE COUNTY,Pre-kindergarten,219
2014-2015,2,BEE COUNTY,Kindergarten,406
2014-2015,2,BEE COUNTY,Grade  1,456
2014-2015,2,BEE COUNTY,Grade  2,437
2014-2015,2,BEE COUNTY,Grade  3,418
2014-2015,2,BEE COUNTY,Grade  4,393
2014-2015,2,BEE COUNTY,Grade  5,375
2014-2015,2,BEE COUNTY,Grade  6,389
2014-2015,2,BEE COUNTY,Grade  7,396
2014-2015,2,BEE COUNTY,Grade  8,423
2014-2015,2,BEE COUNTY,Grade  9,422
2014-2015,2,BEE COUNTY,Grade 10,376
2014-2015,2,BEE COUNTY,Grade 11,302
2014-2015,2,BEE COUNTY,Grade 12,268
2014-2015,12,BELL COUNTY/12,Early Education,271
2014-2015,12,BELL COUNTY/12,Pre-kindergarten,4525
2014-2015,12,BELL COUNTY/12,Kindergarten,5634
2014-2015,12,BELL COUNTY/12,Grade  1,6049
2014-2015,12,BELL COUNTY/12,Grade  2,5714
2014-2015,12,BELL COUNTY/12,Grade  3,5462
2014-2015,12,BELL COUNTY/12,Grade  4,5223
2014-2015,12,BELL COUNTY/12,Grade  5,4934
2014-2015,12,BELL COUNTY/12,Grade  6,4970
2014-2015,12,BELL COUNTY/12,Grade  7,4962
2014-2015,12,BELL COUNTY/12,Grade  8,4873
2014-2015,12,BELL COUNTY/12,Grade  9,5728
2014-2015,12,BELL COUNTY/12,Grade 10,4873
2014-2015,12,BELL COUNTY/12,Grade 11,4466
2014-2015,12,BELL COUNTY/12,Grade 12,4049
2014-2015,13,BELL COUNTY/13,Early Education,-9999999
2014-2015,13,BELL COUNTY/13,Pre-kindergarten,38
2014-2015,13,BELL COUNTY/13,Kindergarten,32
2014-2015,13,BELL COUNTY/13,Grade  1,22
2014-2015,13,BELL COUNTY/13,Grade  2,39
2014-2015,13,BELL COUNTY/13,Grade  3,24
2014-2015,13,BELL COUNTY/13,Grade  4,25
2014-2015,13,BELL COUNTY/13,Grade  5,23
2014-2015,13,BELL COUNTY/13,Grade  6,30
