T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,1,CAMERON COUNTY,Grade  2,7114
2014-2015,1,CAMERON COUNTY,Grade  3,6894
2014-2015,1,CAMERON COUNTY,Grade  4,7117
2014-2015,1,CAMERON COUNTY,Grade  5,7193
2014-2015,1,CAMERON COUNTY,Grade  6,7129
2014-2015,1,CAMERON COUNTY,Grade  7,7649
2014-2015,1,CAMERON COUNTY,Grade  8,7977
2014-2015,1,CAMERON COUNTY,Grade  9,8894
2014-2015,1,CAMERON COUNTY,Grade 10,8123
2014-2015,1,CAMERON COUNTY,Grade 11,7237
2014-2015,1,CAMERON COUNTY,Grade 12,6255
2014-2015,8,CAMP COUNTY,Early Education,8
2014-2015,8,CAMP COUNTY,Pre-kindergarten,92
2014-2015,8,CAMP COUNTY,Kindergarten,161
2014-2015,8,CAMP COUNTY,Grade  1,211
2014-2015,8,CAMP COUNTY,Grade  2,188
2014-2015,8,CAMP COUNTY,Grade  3,180
2014-2015,8,CAMP COUNTY,Grade  4,179
2014-2015,8,CAMP COUNTY,Grade  5,190
2014-2015,8,CAMP COUNTY,Grade  6,178
2014-2015,8,CAMP COUNTY,Grade  7,192
2014-2015,8,CAMP COUNTY,Grade  8,154
2014-2015,8,CAMP COUNTY,Grade  9,188
2014-2015,8,CAMP COUNTY,Grade 10,187
2014-2015,8,CAMP COUNTY,Grade 11,180
2014-2015,8,CAMP COUNTY,Grade 12,152
2014-2015,16,CARSON COUNTY,Early Education,-9999999
2014-2015,16,CARSON COUNTY,Pre-kindergarten,46
2014-2015,16,CARSON COUNTY,Kindergarten,95
2014-2015,16,CARSON COUNTY,Grade  1,81
2014-2015,16,CARSON COUNTY,Grade  2,82
2014-2015,16,CARSON COUNTY,Grade  3,78
2014-2015,16,CARSON COUNTY,Grade  4,88
2014-2015,16,CARSON COUNTY,Grade  5,92
2014-2015,16,CARSON COUNTY,Grade  6,98
2014-2015,16,CARSON COUNTY,Grade  7,91
2014-2015,16,CARSON COUNTY,Grade  8,80
2014-2015,16,CARSON COUNTY,Grade  9,77
2014-2015,16,CARSON COUNTY,Grade 10,87
2014-2015,16,CARSON COUNTY,Grade 11,81
2014-2015,16,CARSON COUNTY,Grade 12,75
2014-2015,8,CASS COUNTY,Early Education,14
2014-2015,8,CASS COUNTY,Pre-kindergarten,326
2014-2015,8,CASS COUNTY,Kindergarten,369
2014-2015,8,CASS COUNTY,Grade  1,423
2014-2015,8,CASS COUNTY,Grade  2,402
2014-2015,8,CASS COUNTY,Grade  3,399
2014-2015,8,CASS COUNTY,Grade  4,395
2014-2015,8,CASS COUNTY,Grade  5,397
2014-2015,8,CASS COUNTY,Grade  6,413
2014-2015,8,CASS COUNTY,Grade  7,409
2014-2015,8,CASS COUNTY,Grade  8,413
2014-2015,8,CASS COUNTY,Grade  9,425
2014-2015,8,CASS COUNTY,Grade 10,443
2014-2015,8,CASS COUNTY,Grade 11,412
2014-2015,8,CASS COUNTY,Grade 12,375
2014-2015,16,CASTRO COUNTY,Early Education,-9999999
2014-2015,16,CASTRO COUNTY,Pre-kindergarten,127
2014-2015,16,CASTRO COUNTY,Kindergarten,130
2014-2015,16,CASTRO COUNTY,Grade  1,133
2014-2015,16,CASTRO COUNTY,Grade  2,125
2014-2015,16,CASTRO COUNTY,Grade  3,111
2014-2015,16,CASTRO COUNTY,Grade  4,128
2014-2015,16,CASTRO COUNTY,Grade  5,133
2014-2015,16,CASTRO COUNTY,Grade  6,120
2014-2015,16,CASTRO COUNTY,Grade  7,104
2014-2015,16,CASTRO COUNTY,Grade  8,123
2014-2015,16,CASTRO COUNTY,Grade  9,128
2014-2015,16,CASTRO COUNTY,Grade 10,127
2014-2015,16,CASTRO COUNTY,Grade 11,106
2014-2015,16,CASTRO COUNTY,Grade 12,111
2014-2015,4,CHAMBERS COUNTY/04,Early Education,24
2014-2015,4,CHAMBERS COUNTY/04,Pre-kindergarten,115
2014-2015,4,CHAMBERS COUNTY/04,Kindergarten,439
2014-2015,4,CHAMBERS COUNTY/04,Grade  1,460
2014-2015,4,CHAMBERS COUNTY/04,Grade  2,464
2014-2015,4,CHAMBERS COUNTY/04,Grade  3,452
2014-2015,4,CHAMBERS COUNTY/04,Grade  4,463
2014-2015,4,CHAMBERS COUNTY/04,Grade  5,495
2014-2015,4,CHAMBERS COUNTY/04,Grade  6,466
2014-2015,4,CHAMBERS COUNTY/04,Grade  7,455
2014-2015,4,CHAMBERS COUNTY/04,Grade  8,457
2014-2015,4,CHAMBERS COUNTY/04,Grade  9,563
2014-2015,4,CHAMBERS COUNTY/04,Grade 10,483
2014-2015,4,CHAMBERS COUNTY/04,Grade 11,394
2014-2015,4,CHAMBERS COUNTY/04,Grade 12,395
2014-2015,5,CHAMBERS COUNTY/05,Early Education,10
2014-2015,5,CHAMBERS COUNTY/05,Pre-kindergarten,74
2014-2015,5,CHAMBERS COUNTY/05,Kindergarten,115
2014-2015,5,CHAMBERS COUNTY/05,Grade  1,114
2014-2015,5,CHAMBERS COUNTY/05,Grade  2,111
2014-2015,5,CHAMBERS COUNTY/05,Grade  3,104
2014-2015,5,CHAMBERS COUNTY/05,Grade  4,112
2014-2015,5,CHAMBERS COUNTY/05,Grade  5,97
2014-2015,5,CHAMBERS COUNTY/05,Grade  6,84
2014-2015,5,CHAMBERS COUNTY/05,Grade  7,120
2014-2015,5,CHAMBERS COUNTY/05,Grade  8,107
2014-2015,5,CHAMBERS COUNTY/05,Grade  9,104
2014-2015,5,CHAMBERS COUNTY/05,Grade 10,87
2014-2015,5,CHAMBERS COUNTY/05,Grade 11,104
2014-2015,5,CHAMBERS COUNTY/05,Grade 12,82
2014-2015,AL,CHAMBERS COUNTY/ALL,Early Education,34
2014-2015,AL,CHAMBERS COUNTY/ALL,Pre-kindergarten,189
2014-2015,AL,CHAMBERS COUNTY/ALL,Kindergarten,554
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  1,574
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  2,575
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  3,556
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  4,575
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  5,592
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  6,550
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  7,575
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  8,564
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade  9,667
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade 10,570
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade 11,498
2014-2015,AL,CHAMBERS COUNTY/ALL,Grade 12,477
2014-2015,7,CHEROKEE COUNTY,Early Education,20
2014-2015,7,CHEROKEE COUNTY,Pre-kindergarten,475
2014-2015,7,CHEROKEE COUNTY,Kindergarten,687
2014-2015,7,CHEROKEE COUNTY,Grade  1,692
2014-2015,7,CHEROKEE COUNTY,Grade  2,706
2014-2015,7,CHEROKEE COUNTY,Grade  3,677
2014-2015,7,CHEROKEE COUNTY,Grade  4,648
2014-2015,7,CHEROKEE COUNTY,Grade  5,624
2014-2015,7,CHEROKEE COUNTY,Grade  6,595
2014-2015,7,CHEROKEE COUNTY,Grade  7,645
2014-2015,7,CHEROKEE COUNTY,Grade  8,664
2014-2015,7,CHEROKEE COUNTY,Grade  9,635
2014-2015,7,CHEROKEE COUNTY,Grade 10,594
2014-2015,7,CHEROKEE COUNTY,Grade 11,533
2014-2015,7,CHEROKEE COUNTY,Grade 12,479
2014-2015,16,CHILDRESS COUNTY,Early Education,-9999999
2014-2015,16,CHILDRESS COUNTY,Pre-kindergarten,36
2014-2015,16,CHILDRESS COUNTY,Kindergarten,94
2014-2015,16,CHILDRESS COUNTY,Grade  1,87
2014-2015,16,CHILDRESS COUNTY,Grade  2,96
2014-2015,16,CHILDRESS COUNTY,Grade  3,86
2014-2015,16,CHILDRESS COUNTY,Grade  4,80
2014-2015,16,CHILDRESS COUNTY,Grade  5,92
2014-2015,16,CHILDRESS COUNTY,Grade  6,89
2014-2015,16,CHILDRESS COUNTY,Grade  7,104
2014-2015,16,CHILDRESS COUNTY,Grade  8,78
2014-2015,16,CHILDRESS COUNTY,Grade  9,66
2014-2015,16,CHILDRESS COUNTY,Grade 10,96
2014-2015,16,CHILDRESS COUNTY,Grade 11,61
2014-2015,16,CHILDRESS COUNTY,Grade 12,83
2014-2015,9,CLAY COUNTY,Early Education,-9999999
2014-2015,9,CLAY COUNTY,Pre-kindergarten,85
2014-2015,9,CLAY COUNTY,Kindergarten,146
2014-2015,9,CLAY COUNTY,Grade  1,125
2014-2015,9,CLAY COUNTY,Grade  2,109
2014-2015,9,CLAY COUNTY,Grade  3,126
2014-2015,9,CLAY COUNTY,Grade  4,122
2014-2015,9,CLAY COUNTY,Grade  5,142
2014-2015,9,CLAY COUNTY,Grade  6,111
2014-2015,9,CLAY COUNTY,Grade  7,131
2014-2015,9,CLAY COUNTY,Grade  8,129
2014-2015,9,CLAY COUNTY,Grade  9,141
2014-2015,9,CLAY COUNTY,Grade 10,129
2014-2015,9,CLAY COUNTY,Grade 11,124
2014-2015,9,CLAY COUNTY,Grade 12,127
2014-2015,17,COCHRAN COUNTY,Pre-kindergarten,57
2014-2015,17,COCHRAN COUNTY,Kindergarten,52
2014-2015,17,COCHRAN COUNTY,Grade  1,71
2014-2015,17,COCHRAN COUNTY,Grade  2,70
2014-2015,17,COCHRAN COUNTY,Grade  3,52
2014-2015,17,COCHRAN COUNTY,Grade  4,51
2014-2015,17,COCHRAN COUNTY,Grade  5,66
2014-2015,17,COCHRAN COUNTY,Grade  6,60
2014-2015,17,COCHRAN COUNTY,Grade  7,63
2014-2015,17,COCHRAN COUNTY,Grade  8,42
2014-2015,17,COCHRAN COUNTY,Grade  9,55
2014-2015,17,COCHRAN COUNTY,Grade 10,55
2014-2015,17,COCHRAN COUNTY,Grade 11,50
2014-2015,17,COCHRAN COUNTY,Grade 12,51
2014-2015,15,COKE COUNTY,Early Education,-9999999
2014-2015,15,COKE COUNTY,Pre-kindergarten,36
2014-2015,15,COKE COUNTY,Kindergarten,38
2014-2015,15,COKE COUNTY,Grade  1,41
2014-2015,15,COKE COUNTY,Grade  2,32
2014-2015,15,COKE COUNTY,Grade  3,31
2014-2015,15,COKE COUNTY,Grade  4,33
2014-2015,15,COKE COUNTY,Grade  5,34
2014-2015,15,COKE COUNTY,Grade  6,38
2014-2015,15,COKE COUNTY,Grade  7,42
2014-2015,15,COKE COUNTY,Grade  8,48
2014-2015,15,COKE COUNTY,Grade  9,44
2014-2015,15,COKE COUNTY,Grade 10,56
2014-2015,15,COKE COUNTY,Grade 11,41
2014-2015,15,COKE COUNTY,Grade 12,33
2014-2015,15,COLEMAN COUNTY,Early Education,-9999999
2014-2015,15,COLEMAN COUNTY,Pre-kindergarten,78
2014-2015,15,COLEMAN COUNTY,Kindergarten,103
2014-2015,15,COLEMAN COUNTY,Grade  1,98
2014-2015,15,COLEMAN COUNTY,Grade  2,116
2014-2015,15,COLEMAN COUNTY,Grade  3,81
2014-2015,15,COLEMAN COUNTY,Grade  4,104
2014-2015,15,COLEMAN COUNTY,Grade  5,102
2014-2015,15,COLEMAN COUNTY,Grade  6,100
2014-2015,15,COLEMAN COUNTY,Grade  7,77
2014-2015,15,COLEMAN COUNTY,Grade  8,113
2014-2015,15,COLEMAN COUNTY,Grade  9,107
2014-2015,15,COLEMAN COUNTY,Grade 10,92
2014-2015,15,COLEMAN COUNTY,Grade 11,77
2014-2015,15,COLEMAN COUNTY,Grade 12,86
2014-2015,10,COLLIN COUNTY,Early Education,1451
2014-2015,10,COLLIN COUNTY,Pre-kindergarten,2619
2014-2015,10,COLLIN COUNTY,Kindergarten,13653
2014-2015,10,COLLIN COUNTY,Grade  1,14460
2014-2015,10,COLLIN COUNTY,Grade  2,14671
2014-2015,10,COLLIN COUNTY,Grade  3,14752
2014-2015,10,COLLIN COUNTY,Grade  4,14915
2014-2015,10,COLLIN COUNTY,Grade  5,15226
2014-2015,10,COLLIN COUNTY,Grade  6,14970
2014-2015,10,COLLIN COUNTY,Grade  7,14687
2014-2015,10,COLLIN COUNTY,Grade  8,14924
2014-2015,10,COLLIN COUNTY,Grade  9,15095
2014-2015,10,COLLIN COUNTY,Grade 10,14051
2014-2015,10,COLLIN COUNTY,Grade 11,13200
2014-2015,10,COLLIN COUNTY,Grade 12,12255
2014-2015,16,COLLINGSWORTH COUNTY,Early Education,-9999999
2014-2015,16,COLLINGSWORTH COUNTY,Pre-kindergarten,41
2014-2015,16,COLLINGSWORTH COUNTY,Kindergarten,51
2014-2015,16,COLLINGSWORTH COUNTY,Grade  1,49
2014-2015,16,COLLINGSWORTH COUNTY,Grade  2,57
2014-2015,16,COLLINGSWORTH COUNTY,Grade  3,48
2014-2015,16,COLLINGSWORTH COUNTY,Grade  4,38
2014-2015,16,COLLINGSWORTH COUNTY,Grade  5,34
2014-2015,16,COLLINGSWORTH COUNTY,Grade  6,40
2014-2015,16,COLLINGSWORTH COUNTY,Grade  7,39
2014-2015,16,COLLINGSWORTH COUNTY,Grade  8,42
2014-2015,16,COLLINGSWORTH COUNTY,Grade  9,33
2014-2015,16,COLLINGSWORTH COUNTY,Grade 10,40
2014-2015,16,COLLINGSWORTH COUNTY,Grade 11,48
2014-2015,16,COLLINGSWORTH COUNTY,Grade 12,40
2014-2015,3,COLORADO COUNTY,Early Education,5
2014-2015,3,COLORADO COUNTY,Pre-kindergarten,164
2014-2015,3,COLORADO COUNTY,Kindergarten,265
2014-2015,3,COLORADO COUNTY,Grade  1,269
2014-2015,3,COLORADO COUNTY,Grade  2,275
2014-2015,3,COLORADO COUNTY,Grade  3,260
2014-2015,3,COLORADO COUNTY,Grade  4,233
2014-2015,3,COLORADO COUNTY,Grade  5,231
2014-2015,3,COLORADO COUNTY,Grade  6,255
2014-2015,3,COLORADO COUNTY,Grade  7,235
2014-2015,3,COLORADO COUNTY,Grade  8,265
2014-2015,3,COLORADO COUNTY,Grade  9,317
2014-2015,3,COLORADO COUNTY,Grade 10,268
2014-2015,3,COLORADO COUNTY,Grade 11,226
2014-2015,3,COLORADO COUNTY,Grade 12,254
2014-2015,13,COMAL COUNTY,Early Education,138
2014-2015,13,COMAL COUNTY,Pre-kindergarten,503
2014-2015,13,COMAL COUNTY,Kindergarten,2062
2014-2015,13,COMAL COUNTY,Grade  1,2259
2014-2015,13,COMAL COUNTY,Grade  2,2155
2014-2015,13,COMAL COUNTY,Grade  3,2174
2014-2015,13,COMAL COUNTY,Grade  4,2194
2014-2015,13,COMAL COUNTY,Grade  5,2260
2014-2015,13,COMAL COUNTY,Grade  6,2250
2014-2015,13,COMAL COUNTY,Grade  7,2293
2014-2015,13,COMAL COUNTY,Grade  8,2277
2014-2015,13,COMAL COUNTY,Grade  9,2511
2014-2015,13,COMAL COUNTY,Grade 10,2243
2014-2015,13,COMAL COUNTY,Grade 11,2028
2014-2015,13,COMAL COUNTY,Grade 12,1933
2014-2015,14,COMANCHE COUNTY,Early Education,-9999999
2014-2015,14,COMANCHE COUNTY,Pre-kindergarten,157
2014-2015,14,COMANCHE COUNTY,Kindergarten,161
2014-2015,14,COMANCHE COUNTY,Grade  1,176
2014-2015,14,COMANCHE COUNTY,Grade  2,186
2014-2015,14,COMANCHE COUNTY,Grade  3,176
2014-2015,14,COMANCHE COUNTY,Grade  4,166
2014-2015,14,COMANCHE COUNTY,Grade  5,163
2014-2015,14,COMANCHE COUNTY,Grade  6,158
2014-2015,14,COMANCHE COUNTY,Grade  7,168
2014-2015,14,COMANCHE COUNTY,Grade  8,163
2014-2015,14,COMANCHE COUNTY,Grade  9,153
2014-2015,14,COMANCHE COUNTY,Grade 10,167
2014-2015,14,COMANCHE COUNTY,Grade 11,151
2014-2015,14,COMANCHE COUNTY,Grade 12,123
2014-2015,15,CONCHO COUNTY,Pre-kindergarten,11
2014-2015,15,CONCHO COUNTY,Kindergarten,37
2014-2015,15,CONCHO COUNTY,Grade  1,34
2014-2015,15,CONCHO COUNTY,Grade  2,33
2014-2015,15,CONCHO COUNTY,Grade  3,31
2014-2015,15,CONCHO COUNTY,Grade  4,33
2014-2015,15,CONCHO COUNTY,Grade  5,34
2014-2015,15,CONCHO COUNTY,Grade  6,38
2014-2015,15,CONCHO COUNTY,Grade  7,40
2014-2015,15,CONCHO COUNTY,Grade  8,29
2014-2015,15,CONCHO COUNTY,Grade  9,37
2014-2015,15,CONCHO COUNTY,Grade 10,31
2014-2015,15,CONCHO COUNTY,Grade 11,35
2014-2015,15,CONCHO COUNTY,Grade 12,35
2014-2015,11,COOKE COUNTY,Early Education,19
2014-2015,11,COOKE COUNTY,Pre-kindergarten,228
2014-2015,11,COOKE COUNTY,Kindergarten,496
2014-2015,11,COOKE COUNTY,Grade  1,522
2014-2015,11,COOKE COUNTY,Grade  2,518
2014-2015,11,COOKE COUNTY,Grade  3,490
2014-2015,11,COOKE COUNTY,Grade  4,482
2014-2015,11,COOKE COUNTY,Grade  5,498
2014-2015,11,COOKE COUNTY,Grade  6,474
2014-2015,11,COOKE COUNTY,Grade  7,466
2014-2015,11,COOKE COUNTY,Grade  8,494
2014-2015,11,COOKE COUNTY,Grade  9,463
2014-2015,11,COOKE COUNTY,Grade 10,420
2014-2015,11,COOKE COUNTY,Grade 11,417
2014-2015,11,COOKE COUNTY,Grade 12,393
2014-2015,12,CORYELL COUNTY,Early Education,34
2014-2015,12,CORYELL COUNTY,Pre-kindergarten,635
2014-2015,12,CORYELL COUNTY,Kindergarten,851
2014-2015,12,CORYELL COUNTY,Grade  1,842
2014-2015,12,CORYELL COUNTY,Grade  2,855
2014-2015,12,CORYELL COUNTY,Grade  3,795
2014-2015,12,CORYELL COUNTY,Grade  4,785
2014-2015,12,CORYELL COUNTY,Grade  5,805
2014-2015,12,CORYELL COUNTY,Grade  6,803
2014-2015,12,CORYELL COUNTY,Grade  7,846
2014-2015,12,CORYELL COUNTY,Grade  8,862
2014-2015,12,CORYELL COUNTY,Grade  9,879
2014-2015,12,CORYELL COUNTY,Grade 10,835
2014-2015,12,CORYELL COUNTY,Grade 11,739
2014-2015,12,CORYELL COUNTY,Grade 12,729
2014-2015,17,COTTLE COUNTY,Early Education,-9999999
2014-2015,17,COTTLE COUNTY,Pre-kindergarten,14
2014-2015,17,COTTLE COUNTY,Kindergarten,17
2014-2015,17,COTTLE COUNTY,Grade  1,11
2014-2015,17,COTTLE COUNTY,Grade  2,11
2014-2015,17,COTTLE COUNTY,Grade  3,15
2014-2015,17,COTTLE COUNTY,Grade  4,17
2014-2015,17,COTTLE COUNTY,Grade  5,13
2014-2015,17,COTTLE COUNTY,Grade  6,24
2014-2015,17,COTTLE COUNTY,Grade  7,15
2014-2015,17,COTTLE COUNTY,Grade  8,19
2014-2015,17,COTTLE COUNTY,Grade  9,13
2014-2015,17,COTTLE COUNTY,Grade 10,14
2014-2015,17,COTTLE COUNTY,Grade 11,13
2014-2015,17,COTTLE COUNTY,Grade 12,10
2014-2015,18,CRANE COUNTY,Early Education,-9999999
2014-2015,18,CRANE COUNTY,Pre-kindergarten,80
2014-2015,18,CRANE COUNTY,Kindergarten,84
2014-2015,18,CRANE COUNTY,Grade  1,104
2014-2015,18,CRANE COUNTY,Grade  2,76
2014-2015,18,CRANE COUNTY,Grade  3,86
2014-2015,18,CRANE COUNTY,Grade  4,93
2014-2015,18,CRANE COUNTY,Grade  5,81
2014-2015,18,CRANE COUNTY,Grade  6,75
2014-2015,18,CRANE COUNTY,Grade  7,74
2014-2015,18,CRANE COUNTY,Grade  8,89
2014-2015,18,CRANE COUNTY,Grade  9,103
2014-2015,18,CRANE COUNTY,Grade 10,88
2014-2015,18,CRANE COUNTY,Grade 11,74
2014-2015,18,CRANE COUNTY,Grade 12,53
2014-2015,15,CROCKETT COUNTY,Early Education,-9999999
2014-2015,15,CROCKETT COUNTY,Pre-kindergarten,62
2014-2015,15,CROCKETT COUNTY,Kindergarten,68
2014-2015,15,CROCKETT COUNTY,Grade  1,84
2014-2015,15,CROCKETT COUNTY,Grade  2,62
2014-2015,15,CROCKETT COUNTY,Grade  3,81
2014-2015,15,CROCKETT COUNTY,Grade  4,60
2014-2015,15,CROCKETT COUNTY,Grade  5,69
2014-2015,15,CROCKETT COUNTY,Grade  6,56
2014-2015,15,CROCKETT COUNTY,Grade  7,60
2014-2015,15,CROCKETT COUNTY,Grade  8,55
2014-2015,15,CROCKETT COUNTY,Grade  9,44
2014-2015,15,CROCKETT COUNTY,Grade 10,64
2014-2015,15,CROCKETT COUNTY,Grade 11,55
2014-2015,15,CROCKETT COUNTY,Grade 12,42
2014-2015,17,CROSBY COUNTY,Early Education,10
2014-2015,17,CROSBY COUNTY,Pre-kindergarten,103
2014-2015,17,CROSBY COUNTY,Kindergarten,82
2014-2015,17,CROSBY COUNTY,Grade  1,96
2014-2015,17,CROSBY COUNTY,Grade  2,93
2014-2015,17,CROSBY COUNTY,Grade  3,95
2014-2015,17,CROSBY COUNTY,Grade  4,92
2014-2015,17,CROSBY COUNTY,Grade  5,92
2014-2015,17,CROSBY COUNTY,Grade  6,89
2014-2015,17,CROSBY COUNTY,Grade  7,78
2014-2015,17,CROSBY COUNTY,Grade  8,95
2014-2015,17,CROSBY COUNTY,Grade  9,82
2014-2015,17,CROSBY COUNTY,Grade 10,79
2014-2015,17,CROSBY COUNTY,Grade 11,88
2014-2015,17,CROSBY COUNTY,Grade 12,61
2014-2015,18,CULBERSON COUNTY,Pre-kindergarten,23
2014-2015,18,CULBERSON COUNTY,Kindergarten,41
2014-2015,18,CULBERSON COUNTY,Grade  1,35
2014-2015,18,CULBERSON COUNTY,Grade  2,25
2014-2015,18,CULBERSON COUNTY,Grade  3,37
2014-2015,18,CULBERSON COUNTY,Grade  4,25
2014-2015,18,CULBERSON COUNTY,Grade  5,24
2014-2015,18,CULBERSON COUNTY,Grade  6,36
2014-2015,18,CULBERSON COUNTY,Grade  7,35
2014-2015,18,CULBERSON COUNTY,Grade  8,34
2014-2015,18,CULBERSON COUNTY,Grade  9,32
2014-2015,18,CULBERSON COUNTY,Grade 10,24
2014-2015,18,CULBERSON COUNTY,Grade 11,37
2014-2015,18,CULBERSON COUNTY,Grade 12,23
2014-2015,16,DALLAM COUNTY,Early Education,-9999999
2014-2015,16,DALLAM COUNTY,Pre-kindergarten,101
2014-2015,16,DALLAM COUNTY,Kindergarten,136
2014-2015,16,DALLAM COUNTY,Grade  1,141
2014-2015,16,DALLAM COUNTY,Grade  2,144
2014-2015,16,DALLAM COUNTY,Grade  3,136
2014-2015,16,DALLAM COUNTY,Grade  4,138
2014-2015,16,DALLAM COUNTY,Grade  5,123
2014-2015,16,DALLAM COUNTY,Grade  6,141
2014-2015,16,DALLAM COUNTY,Grade  7,160
2014-2015,16,DALLAM COUNTY,Grade  8,146
2014-2015,16,DALLAM COUNTY,Grade  9,174
2014-2015,16,DALLAM COUNTY,Grade 10,147
2014-2015,16,DALLAM COUNTY,Grade 11,131
2014-2015,16,DALLAM COUNTY,Grade 12,128
2014-2015,10,DALLAS COUNTY,Early Education,1415
2014-2015,10,DALLAS COUNTY,Pre-kindergarten,22518
2014-2015,10,DALLAS COUNTY,Kindergarten,38415
2014-2015,10,DALLAS COUNTY,Grade  1,40237
2014-2015,10,DALLAS COUNTY,Grade  2,40014
2014-2015,10,DALLAS COUNTY,Grade  3,38619
2014-2015,10,DALLAS COUNTY,Grade  4,37325
2014-2015,10,DALLAS COUNTY,Grade  5,36395
2014-2015,10,DALLAS COUNTY,Grade  6,35676
2014-2015,10,DALLAS COUNTY,Grade  7,35305
2014-2015,10,DALLAS COUNTY,Grade  8,35561
2014-2015,10,DALLAS COUNTY,Grade  9,39062
2014-2015,10,DALLAS COUNTY,Grade 10,34351
2014-2015,10,DALLAS COUNTY,Grade 11,31418
2014-2015,10,DALLAS COUNTY,Grade 12,28596
2014-2015,17,DAWSON COUNTY,Early Education,10
2014-2015,17,DAWSON COUNTY,Pre-kindergarten,167
2014-2015,17,DAWSON COUNTY,Kindergarten,222
2014-2015,17,DAWSON COUNTY,Grade  1,211
2014-2015,17,DAWSON COUNTY,Grade  2,261
2014-2015,17,DAWSON COUNTY,Grade  3,229
2014-2015,17,DAWSON COUNTY,Grade  4,201
2014-2015,17,DAWSON COUNTY,Grade  5,175
2014-2015,17,DAWSON COUNTY,Grade  6,185
2014-2015,17,DAWSON COUNTY,Grade  7,181
2014-2015,17,DAWSON COUNTY,Grade  8,190
2014-2015,17,DAWSON COUNTY,Grade  9,221
2014-2015,17,DAWSON COUNTY,Grade 10,175
2014-2015,17,DAWSON COUNTY,Grade 11,159
2014-2015,17,DAWSON COUNTY,Grade 12,122
2014-2015,16,DEAF SMITH COUNTY,Early Education,6
2014-2015,16,DEAF SMITH COUNTY,Pre-kindergarten,294
2014-2015,16,DEAF SMITH COUNTY,Kindergarten,341
2014-2015,16,DEAF SMITH COUNTY,Grade  1,349
2014-2015,16,DEAF SMITH COUNTY,Grade  2,337
2014-2015,16,DEAF SMITH COUNTY,Grade  3,316
2014-2015,16,DEAF SMITH COUNTY,Grade  4,304
2014-2015,16,DEAF SMITH COUNTY,Grade  5,311
2014-2015,16,DEAF SMITH COUNTY,Grade  6,302
2014-2015,16,DEAF SMITH COUNTY,Grade  7,322
2014-2015,16,DEAF SMITH COUNTY,Grade  8,301
2014-2015,16,DEAF SMITH COUNTY,Grade  9,325
2014-2015,16,DEAF SMITH COUNTY,Grade 10,309
2014-2015,16,DEAF SMITH COUNTY,Grade 11,272
2014-2015,16,DEAF SMITH COUNTY,Grade 12,263
2014-2015,8,DELTA COUNTY,Pre-kindergarten,74
2014-2015,8,DELTA COUNTY,Kindergarten,66
2014-2015,8,DELTA COUNTY,Grade  1,74
2014-2015,8,DELTA COUNTY,Grade  2,56
2014-2015,8,DELTA COUNTY,Grade  3,71
2014-2015,8,DELTA COUNTY,Grade  4,73
2014-2015,8,DELTA COUNTY,Grade  5,63
2014-2015,8,DELTA COUNTY,Grade  6,88
2014-2015,8,DELTA COUNTY,Grade  7,62
2014-2015,8,DELTA COUNTY,Grade  8,73
2014-2015,8,DELTA COUNTY,Grade  9,76
2014-2015,8,DELTA COUNTY,Grade 10,67
2014-2015,8,DELTA COUNTY,Grade 11,60
2014-2015,8,DELTA COUNTY,Grade 12,78
2014-2015,10,DENTON COUNTY/10,Kindergarten,75
2014-2015,10,DENTON COUNTY/10,Grade  1,75
2014-2015,10,DENTON COUNTY/10,Grade  2,75
2014-2015,10,DENTON COUNTY/10,Grade  3,75
2014-2015,10,DENTON COUNTY/10,Grade  4,50
2014-2015,10,DENTON COUNTY/10,Grade  5,50
2014-2015,10,DENTON COUNTY/10,Grade  6,60
2014-2015,10,DENTON COUNTY/10,Grade  7,60
2014-2015,11,DENTON COUNTY/11,Early Education,473
2014-2015,11,DENTON COUNTY/11,Pre-kindergarten,3436
2014-2015,11,DENTON COUNTY/11,Kindergarten,8683
2014-2015,11,DENTON COUNTY/11,Grade  1,9016
2014-2015,11,DENTON COUNTY/11,Grade  2,9270
2014-2015,11,DENTON COUNTY/11,Grade  3,9454
2014-2015,11,DENTON COUNTY/11,Grade  4,9336
2014-2015,11,DENTON COUNTY/11,Grade  5,9454
2014-2015,11,DENTON COUNTY/11,Grade  6,9418
2014-2015,11,DENTON COUNTY/11,Grade  7,9494
2014-2015,11,DENTON COUNTY/11,Grade  8,9505
2014-2015,11,DENTON COUNTY/11,Grade  9,9962
2014-2015,11,DENTON COUNTY/11,Grade 10,9343
