T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2021-2022,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2021-2022,7,ANDERSON COUNTY,Early Education,3
2021-2022,7,ANDERSON COUNTY,Pre-kindergarten,444
2021-2022,7,ANDERSON COUNTY,Kindergarten,556
2021-2022,7,ANDERSON COUNTY,Grade 1,557
2021-2022,7,ANDERSON COUNTY,Grade 2,561
2021-2022,7,ANDERSON COUNTY,Grade 3,569
2021-2022,7,ANDERSON COUNTY,Grade 4,539
2021-2022,7,ANDERSON COUNTY,Grade 5,555
2021-2022,7,ANDERSON COUNTY,Grade 6,559
2021-2022,7,ANDERSON COUNTY,Grade 7,634
2021-2022,7,ANDERSON COUNTY,Grade 8,598
2021-2022,7,ANDERSON COUNTY,Grade 9,670
2021-2022,7,ANDERSON COUNTY,Grade 10,579
2021-2022,7,ANDERSON COUNTY,Grade 11,585
2021-2022,7,ANDERSON COUNTY,Grade 12,522
2021-2022,18,ANDREWS COUNTY,Early Education,27
2021-2022,18,ANDREWS COUNTY,Pre-kindergarten,87
2021-2022,18,ANDREWS COUNTY,Kindergarten,317
2021-2022,18,ANDREWS COUNTY,Grade 1,347
2021-2022,18,ANDREWS COUNTY,Grade 2,290
2021-2022,18,ANDREWS COUNTY,Grade 3,332
2021-2022,18,ANDREWS COUNTY,Grade 4,305
2021-2022,18,ANDREWS COUNTY,Grade 5,300
2021-2022,18,ANDREWS COUNTY,Grade 6,289
2021-2022,18,ANDREWS COUNTY,Grade 7,324
2021-2022,18,ANDREWS COUNTY,Grade 8,318
2021-2022,18,ANDREWS COUNTY,Grade 9,369
2021-2022,18,ANDREWS COUNTY,Grade 10,292
2021-2022,18,ANDREWS COUNTY,Grade 11,297
2021-2022,18,ANDREWS COUNTY,Grade 12,253
2021-2022,7,ANGELINA COUNTY,Early Education,56
2021-2022,7,ANGELINA COUNTY,Pre-kindergarten,804
2021-2022,7,ANGELINA COUNTY,Kindergarten,1165
2021-2022,7,ANGELINA COUNTY,Grade 1,1191
2021-2022,7,ANGELINA COUNTY,Grade 2,1161
2021-2022,7,ANGELINA COUNTY,Grade 3,1159
2021-2022,7,ANGELINA COUNTY,Grade 4,1193
2021-2022,7,ANGELINA COUNTY,Grade 5,1154
2021-2022,7,ANGELINA COUNTY,Grade 6,1154
2021-2022,7,ANGELINA COUNTY,Grade 7,1209
2021-2022,7,ANGELINA COUNTY,Grade 8,1258
2021-2022,7,ANGELINA COUNTY,Grade 9,1346
2021-2022,7,ANGELINA COUNTY,Grade 10,1215
2021-2022,7,ANGELINA COUNTY,Grade 11,1113
2021-2022,7,ANGELINA COUNTY,Grade 12,1099
2021-2022,2,ARANSAS COUNTY,Early Education,6
2021-2022,2,ARANSAS COUNTY,Pre-kindergarten,128
2021-2022,2,ARANSAS COUNTY,Kindergarten,182
2021-2022,2,ARANSAS COUNTY,Grade 1,174
2021-2022,2,ARANSAS COUNTY,Grade 2,223
2021-2022,2,ARANSAS COUNTY,Grade 3,201
2021-2022,2,ARANSAS COUNTY,Grade 4,219
2021-2022,2,ARANSAS COUNTY,Grade 5,219
2021-2022,2,ARANSAS COUNTY,Grade 6,258
2021-2022,2,ARANSAS COUNTY,Grade 7,222
2021-2022,2,ARANSAS COUNTY,Grade 8,243
2021-2022,2,ARANSAS COUNTY,Grade 9,246
2021-2022,2,ARANSAS COUNTY,Grade 10,226
2021-2022,2,ARANSAS COUNTY,Grade 11,237
2021-2022,2,ARANSAS COUNTY,Grade 12,221
