T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2021-2022,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2021-2022,9,ARCHER COUNTY,Early Education,3
2021-2022,9,ARCHER COUNTY,Pre-kindergarten,99
2021-2022,9,ARCHER COUNTY,Kindergarten,159
2021-2022,9,ARCHER COUNTY,Grade 1,162
2021-2022,9,ARCHER COUNTY,Grade 2,148
2021-2022,9,ARCHER COUNTY,Grade 3,161
2021-2022,9,ARCHER COUNTY,Grade 4,156
2021-2022,9,ARCHER COUNTY,Grade 5,155
2021-2022,9,ARCHER COUNTY,Grade 6,146
2021-2022,9,ARCHER COUNTY,Grade 7,165
2021-2022,9,ARCHER COUNTY,Grade 8,176
2021-2022,9,ARCHER COUNTY,Grade 9,164
2021-2022,9,ARCHER COUNTY,Grade 10,163
2021-2022,9,ARCHER COUNTY,Grade 11,147
2021-2022,9,ARCHER COUNTY,Grade 12,162
2021-2022,16,ARMSTRONG COUNTY,Pre-kindergarten,15
2021-2022,16,ARMSTRONG COUNTY,Kindergarten,18
2021-2022,16,ARMSTRONG COUNTY,Grade 1,16
2021-2022,16,ARMSTRONG COUNTY,Grade 2,22
2021-2022,16,ARMSTRONG COUNTY,Grade 3,32
2021-2022,16,ARMSTRONG COUNTY,Grade 4,18
2021-2022,16,ARMSTRONG COUNTY,Grade 5,22
2021-2022,16,ARMSTRONG COUNTY,Grade 6,21
2021-2022,16,ARMSTRONG COUNTY,Grade 7,28
2021-2022,16,ARMSTRONG COUNTY,Grade 8,25
2021-2022,16,ARMSTRONG COUNTY,Grade 9,21
2021-2022,16,ARMSTRONG COUNTY,Grade 10,25
2021-2022,16,ARMSTRONG COUNTY,Grade 11,28
2021-2022,16,ARMSTRONG COUNTY,Grade 12,16
2021-2022,20,ATASCOSA COUNTY,Early Education,37
2021-2022,20,ATASCOSA COUNTY,Pre-kindergarten,463
2021-2022,20,ATASCOSA COUNTY,Kindergarten,601
2021-2022,20,ATASCOSA COUNTY,Grade 1,643
2021-2022,20,ATASCOSA COUNTY,Grade 2,593
2021-2022,20,ATASCOSA COUNTY,Grade 3,622
2021-2022,20,ATASCOSA COUNTY,Grade 4,619
2021-2022,20,ATASCOSA COUNTY,Grade 5,643
2021-2022,20,ATASCOSA COUNTY,Grade 6,669
2021-2022,20,ATASCOSA COUNTY,Grade 7,701
2021-2022,20,ATASCOSA COUNTY,Grade 8,653
2021-2022,20,ATASCOSA COUNTY,Grade 9,735
2021-2022,20,ATASCOSA COUNTY,Grade 10,624
2021-2022,20,ATASCOSA COUNTY,Grade 11,572
2021-2022,20,ATASCOSA COUNTY,Grade 12,599
2021-2022,6,AUSTIN COUNTY,Early Education,33
2021-2022,6,AUSTIN COUNTY,Pre-kindergarten,151
2021-2022,6,AUSTIN COUNTY,Kindergarten,366
2021-2022,6,AUSTIN COUNTY,Grade 1,435
2021-2022,6,AUSTIN COUNTY,Grade 2,370
2021-2022,6,AUSTIN COUNTY,Grade 3,395
2021-2022,6,AUSTIN COUNTY,Grade 4,431
2021-2022,6,AUSTIN COUNTY,Grade 5,398
2021-2022,6,AUSTIN COUNTY,Grade 6,460
2021-2022,6,AUSTIN COUNTY,Grade 7,464
2021-2022,6,AUSTIN COUNTY,Grade 8,501
2021-2022,6,AUSTIN COUNTY,Grade 9,491
2021-2022,6,AUSTIN COUNTY,Grade 10,454
2021-2022,6,AUSTIN COUNTY,Grade 11,426
2021-2022,6,AUSTIN COUNTY,Grade 12,418
2021-2022,17,BAILEY COUNTY,Early Education,11
2021-2022,17,BAILEY COUNTY,Pre-kindergarten,79
2021-2022,17,BAILEY COUNTY,Kindergarten,93
2021-2022,17,BAILEY COUNTY,Grade 1,105
2021-2022,17,BAILEY COUNTY,Grade 2,98
2021-2022,17,BAILEY COUNTY,Grade 3,92
2021-2022,17,BAILEY COUNTY,Grade 4,94
2021-2022,17,BAILEY COUNTY,Grade 5,105
2021-2022,17,BAILEY COUNTY,Grade 6,88
2021-2022,17,BAILEY COUNTY,Grade 7,106
2021-2022,17,BAILEY COUNTY,Grade 8,107
2021-2022,17,BAILEY COUNTY,Grade 9,100
2021-2022,17,BAILEY COUNTY,Grade 10,98
2021-2022,17,BAILEY COUNTY,Grade 11,92
2021-2022,17,BAILEY COUNTY,Grade 12,80
2021-2022,20,BANDERA COUNTY,Early Education,16
2021-2022,20,BANDERA COUNTY,Pre-kindergarten,104
2021-2022,20,BANDERA COUNTY,Kindergarten,159
2021-2022,20,BANDERA COUNTY,Grade 1,188
2021-2022,20,BANDERA COUNTY,Grade 2,185
2021-2022,20,BANDERA COUNTY,Grade 3,191
2021-2022,20,BANDERA COUNTY,Grade 4,190
2021-2022,20,BANDERA COUNTY,Grade 5,176
2021-2022,20,BANDERA COUNTY,Grade 6,185
2021-2022,20,BANDERA COUNTY,Grade 7,207
2021-2022,20,BANDERA COUNTY,Grade 8,210
2021-2022,20,BANDERA COUNTY,Grade 9,203
2021-2022,20,BANDERA COUNTY,Grade 10,220
2021-2022,20,BANDERA COUNTY,Grade 11,171
2021-2022,20,BANDERA COUNTY,Grade 12,166
2021-2022,13,BASTROP COUNTY,Early Education,65
2021-2022,13,BASTROP COUNTY,Pre-kindergarten,760
2021-2022,13,BASTROP COUNTY,Kindergarten,1287
2021-2022,13,BASTROP COUNTY,Grade 1,1358
2021-2022,13,BASTROP COUNTY,Grade 2,1326
2021-2022,13,BASTROP COUNTY,Grade 3,1299
2021-2022,13,BASTROP COUNTY,Grade 4,1241
2021-2022,13,BASTROP COUNTY,Grade 5,1352
2021-2022,13,BASTROP COUNTY,Grade 6,1340
2021-2022,13,BASTROP COUNTY,Grade 7,1490
2021-2022,13,BASTROP COUNTY,Grade 8,1531
2021-2022,13,BASTROP COUNTY,Grade 9,1820
2021-2022,13,BASTROP COUNTY,Grade 10,1559
2021-2022,13,BASTROP COUNTY,Grade 11,1425
2021-2022,13,BASTROP COUNTY,Grade 12,1244
2021-2022,9,BAYLOR COUNTY,Early Education,3
2021-2022,9,BAYLOR COUNTY,Pre-kindergarten,28
2021-2022,9,BAYLOR COUNTY,Kindergarten,48
2021-2022,9,BAYLOR COUNTY,Grade 1,54
2021-2022,9,BAYLOR COUNTY,Grade 2,42
2021-2022,9,BAYLOR COUNTY,Grade 3,51
2021-2022,9,BAYLOR COUNTY,Grade 4,46
2021-2022,9,BAYLOR COUNTY,Grade 5,42
2021-2022,9,BAYLOR COUNTY,Grade 6,48
2021-2022,9,BAYLOR COUNTY,Grade 7,48
2021-2022,9,BAYLOR COUNTY,Grade 8,46
2021-2022,9,BAYLOR COUNTY,Grade 9,39
2021-2022,9,BAYLOR COUNTY,Grade 10,46
2021-2022,9,BAYLOR COUNTY,Grade 11,45
2021-2022,9,BAYLOR COUNTY,Grade 12,34
2021-2022,2,BEE COUNTY,Early Education,16
2021-2022,2,BEE COUNTY,Pre-kindergarten,473
2021-2022,2,BEE COUNTY,Kindergarten,373
2021-2022,2,BEE COUNTY,Grade 1,394
2021-2022,2,BEE COUNTY,Grade 2,372
2021-2022,2,BEE COUNTY,Grade 3,363
2021-2022,2,BEE COUNTY,Grade 4,333
2021-2022,2,BEE COUNTY,Grade 5,323
2021-2022,2,BEE COUNTY,Grade 6,331
2021-2022,2,BEE COUNTY,Grade 7,370
2021-2022,2,BEE COUNTY,Grade 8,414
2021-2022,2,BEE COUNTY,Grade 9,414
2021-2022,2,BEE COUNTY,Grade 10,318
2021-2022,2,BEE COUNTY,Grade 11,314
2021-2022,2,BEE COUNTY,Grade 12,266
2021-2022,12,BELL COUNTY,Early Education,310
2021-2022,12,BELL COUNTY,Pre-kindergarten,3752
2021-2022,13,BELL COUNTY,Pre-kindergarten,19
2021-2022,12,BELL COUNTY,Kindergarten,5626
2021-2022,13,BELL COUNTY,Kindergarten,31
2021-2022,12,BELL COUNTY,Grade 1,6027
2021-2022,13,BELL COUNTY,Grade 1,28
2021-2022,12,BELL COUNTY,Grade 2,5654
2021-2022,13,BELL COUNTY,Grade 2,34
2021-2022,12,BELL COUNTY,Grade 3,5710
2021-2022,13,BELL COUNTY,Grade 3,30
2021-2022,12,BELL COUNTY,Grade 4,5591
2021-2022,13,BELL COUNTY,Grade 4,27
2021-2022,12,BELL COUNTY,Grade 5,5486
2021-2022,13,BELL COUNTY,Grade 5,26
2021-2022,12,BELL COUNTY,Grade 6,5420
2021-2022,13,BELL COUNTY,Grade 6,26
2021-2022,12,BELL COUNTY,Grade 7,5577
2021-2022,13,BELL COUNTY,Grade 7,25
2021-2022,12,BELL COUNTY,Grade 8,5760
2021-2022,13,BELL COUNTY,Grade 8,35
2021-2022,12,BELL COUNTY,Grade 9,6544
2021-2022,13,BELL COUNTY,Grade 9,36
2021-2022,20,BELL COUNTY,Grade 9,421
2021-2022,12,BELL COUNTY,Grade 10,5266
2021-2022,13,BELL COUNTY,Grade 10,27
2021-2022,20,BELL COUNTY,Grade 10,483
2021-2022,12,BELL COUNTY,Grade 11,4716
2021-2022,13,BELL COUNTY,Grade 11,26
2021-2022,20,BELL COUNTY,Grade 11,396
2021-2022,12,BELL COUNTY,Grade 12,4148
2021-2022,13,BELL COUNTY,Grade 12,25
2021-2022,20,BELL COUNTY,Grade 12,291
2021-2022,20,BEXAR COUNTY,Early Education,1399
2021-2022,20,BEXAR COUNTY,Pre-kindergarten,16477
2021-2022,20,BEXAR COUNTY,Kindergarten,23688
2021-2022,20,BEXAR COUNTY,Grade 1,24868
2021-2022,20,BEXAR COUNTY,Grade 2,24566
2021-2022,20,BEXAR COUNTY,Grade 3,24370
2021-2022,20,BEXAR COUNTY,Grade 4,24542
2021-2022,20,BEXAR COUNTY,Grade 5,24922
2021-2022,20,BEXAR COUNTY,Grade 6,25335
2021-2022,20,BEXAR COUNTY,Grade 7,25868
2021-2022,20,BEXAR COUNTY,Grade 8,26302
2021-2022,20,BEXAR COUNTY,Grade 9,30049
2021-2022,20,BEXAR COUNTY,Grade 10,24881
2021-2022,20,BEXAR COUNTY,Grade 11,23770
2021-2022,20,BEXAR COUNTY,Grade 12,22253
2021-2022,13,BLANCO COUNTY,Early Education,9
2021-2022,13,BLANCO COUNTY,Pre-kindergarten,46
2021-2022,13,BLANCO COUNTY,Kindergarten,116
2021-2022,13,BLANCO COUNTY,Grade 1,117
2021-2022,13,BLANCO COUNTY,Grade 2,110
2021-2022,13,BLANCO COUNTY,Grade 3,108
2021-2022,13,BLANCO COUNTY,Grade 4,120
2021-2022,13,BLANCO COUNTY,Grade 5,120
2021-2022,13,BLANCO COUNTY,Grade 6,122
2021-2022,13,BLANCO COUNTY,Grade 7,144
2021-2022,13,BLANCO COUNTY,Grade 8,142
2021-2022,13,BLANCO COUNTY,Grade 9,165
2021-2022,13,BLANCO COUNTY,Grade 10,151
2021-2022,13,BLANCO COUNTY,Grade 11,152
2021-2022,13,BLANCO COUNTY,Grade 12,138
2021-2022,17,BORDEN COUNTY,Pre-kindergarten,11
2021-2022,17,BORDEN COUNTY,Kindergarten,19
2021-2022,17,BORDEN COUNTY,Grade 1,20
2021-2022,17,BORDEN COUNTY,Grade 2,19
2021-2022,17,BORDEN COUNTY,Grade 3,19
2021-2022,17,BORDEN COUNTY,Grade 4,12
2021-2022,17,BORDEN COUNTY,Grade 5,12
2021-2022,17,BORDEN COUNTY,Grade 6,19
2021-2022,17,BORDEN COUNTY,Grade 7,24
2021-2022,17,BORDEN COUNTY,Grade 8,20
2021-2022,17,BORDEN COUNTY,Grade 9,15
2021-2022,17,BORDEN COUNTY,Grade 10,24
2021-2022,17,BORDEN COUNTY,Grade 11,16
2021-2022,17,BORDEN COUNTY,Grade 12,15
2021-2022,12,BOSQUE COUNTY,Early Education,19
2021-2022,12,BOSQUE COUNTY,Pre-kindergarten,118
2021-2022,12,BOSQUE COUNTY,Kindergarten,217
2021-2022,12,BOSQUE COUNTY,Grade 1,174
2021-2022,12,BOSQUE COUNTY,Grade 2,185
2021-2022,12,BOSQUE COUNTY,Grade 3,215
2021-2022,12,BOSQUE COUNTY,Grade 4,200
2021-2022,12,BOSQUE COUNTY,Grade 5,187
2021-2022,12,BOSQUE COUNTY,Grade 6,192
2021-2022,12,BOSQUE COUNTY,Grade 7,232
2021-2022,12,BOSQUE COUNTY,Grade 8,248
2021-2022,12,BOSQUE COUNTY,Grade 9,245
2021-2022,12,BOSQUE COUNTY,Grade 10,198
2021-2022,12,BOSQUE COUNTY,Grade 11,201
2021-2022,12,BOSQUE COUNTY,Grade 12,170
2021-2022,8,BOWIE COUNTY,Early Education,61
2021-2022,8,BOWIE COUNTY,Pre-kindergarten,1060
2021-2022,8,BOWIE COUNTY,Kindergarten,1362
2021-2022,8,BOWIE COUNTY,Grade 1,1281
2021-2022,8,BOWIE COUNTY,Grade 2,1194
2021-2022,8,BOWIE COUNTY,Grade 3,1235
2021-2022,8,BOWIE COUNTY,Grade 4,1274
2021-2022,8,BOWIE COUNTY,Grade 5,1253
2021-2022,8,BOWIE COUNTY,Grade 6,1217
2021-2022,8,BOWIE COUNTY,Grade 7,1323
2021-2022,8,BOWIE COUNTY,Grade 8,1281
2021-2022,8,BOWIE COUNTY,Grade 9,1393
2021-2022,8,BOWIE COUNTY,Grade 10,1209
2021-2022,8,BOWIE COUNTY,Grade 11,1166
2021-2022,8,BOWIE COUNTY,Grade 12,1099
2021-2022,4,BRAZORIA COUNTY,Early Education,327
2021-2022,4,BRAZORIA COUNTY,Pre-kindergarten,1930
2021-2022,4,BRAZORIA COUNTY,Kindergarten,4804
2021-2022,4,BRAZORIA COUNTY,Grade 1,5033
2021-2022,4,BRAZORIA COUNTY,Grade 2,5241
2021-2022,4,BRAZORIA COUNTY,Grade 3,5154
2021-2022,4,BRAZORIA COUNTY,Grade 4,5280
2021-2022,4,BRAZORIA COUNTY,Grade 5,5357
2021-2022,4,BRAZORIA COUNTY,Grade 6,5654
2021-2022,4,BRAZORIA COUNTY,Grade 7,5799
2021-2022,4,BRAZORIA COUNTY,Grade 8,5917
2021-2022,4,BRAZORIA COUNTY,Grade 9,6237
2021-2022,4,BRAZORIA COUNTY,Grade 10,5769
2021-2022,4,BRAZORIA COUNTY,Grade 11,5448
2021-2022,4,BRAZORIA COUNTY,Grade 12,5064
2021-2022,6,BRAZOS COUNTY,Early Education,143
2021-2022,6,BRAZOS COUNTY,Pre-kindergarten,1290
2021-2022,6,BRAZOS COUNTY,Kindergarten,2376
2021-2022,6,BRAZOS COUNTY,Grade 1,2376
2021-2022,6,BRAZOS COUNTY,Grade 2,2397
2021-2022,6,BRAZOS COUNTY,Grade 3,2249
2021-2022,6,BRAZOS COUNTY,Grade 4,2236
2021-2022,6,BRAZOS COUNTY,Grade 5,2221
2021-2022,6,BRAZOS COUNTY,Grade 6,2249
2021-2022,6,BRAZOS COUNTY,Grade 7,2296
2021-2022,6,BRAZOS COUNTY,Grade 8,2352
2021-2022,6,BRAZOS COUNTY,Grade 9,2743
2021-2022,6,BRAZOS COUNTY,Grade 10,2199
2021-2022,6,BRAZOS COUNTY,Grade 11,2076
2021-2022,6,BRAZOS COUNTY,Grade 12,1958
2021-2022,18,BREWSTER COUNTY,Early Education,5
2021-2022,18,BREWSTER COUNTY,Pre-kindergarten,90
2021-2022,18,BREWSTER COUNTY,Kindergarten,66
2021-2022,18,BREWSTER COUNTY,Grade 1,71
2021-2022,18,BREWSTER COUNTY,Grade 2,79
2021-2022,18,BREWSTER COUNTY,Grade 3,70
2021-2022,18,BREWSTER COUNTY,Grade 4,76
2021-2022,18,BREWSTER COUNTY,Grade 5,72
2021-2022,18,BREWSTER COUNTY,Grade 6,82
2021-2022,18,BREWSTER COUNTY,Grade 7,85
2021-2022,18,BREWSTER COUNTY,Grade 8,91
2021-2022,18,BREWSTER COUNTY,Grade 9,88
2021-2022,18,BREWSTER COUNTY,Grade 10,105
2021-2022,18,BREWSTER COUNTY,Grade 11,77
2021-2022,18,BREWSTER COUNTY,Grade 12,94
2021-2022,16,BRISCOE COUNTY,Pre-kindergarten,10
2021-2022,16,BRISCOE COUNTY,Kindergarten,14
2021-2022,16,BRISCOE COUNTY,Grade 1,15
2021-2022,16,BRISCOE COUNTY,Grade 2,8
2021-2022,16,BRISCOE COUNTY,Grade 3,11
2021-2022,16,BRISCOE COUNTY,Grade 4,18
2021-2022,16,BRISCOE COUNTY,Grade 5,16
2021-2022,16,BRISCOE COUNTY,Grade 6,7
2021-2022,16,BRISCOE COUNTY,Grade 7,19
2021-2022,16,BRISCOE COUNTY,Grade 8,16
2021-2022,16,BRISCOE COUNTY,Grade 9,12
2021-2022,16,BRISCOE COUNTY,Grade 10,22
2021-2022,16,BRISCOE COUNTY,Grade 11,10
2021-2022,16,BRISCOE COUNTY,Grade 12,9
2021-2022,1,BROOKS COUNTY,Early Education,1
2021-2022,1,BROOKS COUNTY,Pre-kindergarten,87
2021-2022,1,BROOKS COUNTY,Kindergarten,94
2021-2022,1,BROOKS COUNTY,Grade 1,80
2021-2022,1,BROOKS COUNTY,Grade 2,89
2021-2022,1,BROOKS COUNTY,Grade 3,79
2021-2022,1,BROOKS COUNTY,Grade 4,101
2021-2022,1,BROOKS COUNTY,Grade 5,92
2021-2022,1,BROOKS COUNTY,Grade 6,95
2021-2022,1,BROOKS COUNTY,Grade 7,102
2021-2022,1,BROOKS COUNTY,Grade 8,115
2021-2022,1,BROOKS COUNTY,Grade 9,124
2021-2022,1,BROOKS COUNTY,Grade 10,109
2021-2022,1,BROOKS COUNTY,Grade 11,83
2021-2022,1,BROOKS COUNTY,Grade 12,91
2021-2022,15,BROWN COUNTY,Early Education,40
2021-2022,15,BROWN COUNTY,Pre-kindergarten,304
2021-2022,15,BROWN COUNTY,Kindergarten,429
2021-2022,15,BROWN COUNTY,Grade 1,412
2021-2022,15,BROWN COUNTY,Grade 2,440
2021-2022,15,BROWN COUNTY,Grade 3,438
2021-2022,15,BROWN COUNTY,Grade 4,448
2021-2022,15,BROWN COUNTY,Grade 5,426
2021-2022,15,BROWN COUNTY,Grade 6,487
2021-2022,15,BROWN COUNTY,Grade 7,477
2021-2022,15,BROWN COUNTY,Grade 8,507
2021-2022,15,BROWN COUNTY,Grade 9,558
2021-2022,15,BROWN COUNTY,Grade 10,454
2021-2022,15,BROWN COUNTY,Grade 11,447
2021-2022,15,BROWN COUNTY,Grade 12,383
2021-2022,6,BURLESON COUNTY,Early Education,6
2021-2022,6,BURLESON COUNTY,Pre-kindergarten,145
2021-2022,6,BURLESON COUNTY,Kindergarten,197
2021-2022,6,BURLESON COUNTY,Grade 1,206
2021-2022,6,BURLESON COUNTY,Grade 2,225
2021-2022,6,BURLESON COUNTY,Grade 3,211
2021-2022,6,BURLESON COUNTY,Grade 4,187
2021-2022,6,BURLESON COUNTY,Grade 5,204
2021-2022,6,BURLESON COUNTY,Grade 6,217
2021-2022,6,BURLESON COUNTY,Grade 7,216
2021-2022,6,BURLESON COUNTY,Grade 8,230
2021-2022,6,BURLESON COUNTY,Grade 9,246
2021-2022,6,BURLESON COUNTY,Grade 10,214
2021-2022,6,BURLESON COUNTY,Grade 11,218
2021-2022,6,BURLESON COUNTY,Grade 12,192
2021-2022,13,BURNET COUNTY,Early Education,30
2021-2022,13,BURNET COUNTY,Pre-kindergarten,280
2021-2022,13,BURNET COUNTY,Kindergarten,512
2021-2022,13,BURNET COUNTY,Grade 1,543
2021-2022,13,BURNET COUNTY,Grade 2,526
2021-2022,13,BURNET COUNTY,Grade 3,509
2021-2022,13,BURNET COUNTY,Grade 4,490
2021-2022,13,BURNET COUNTY,Grade 5,512
2021-2022,13,BURNET COUNTY,Grade 6,553
2021-2022,13,BURNET COUNTY,Grade 7,516
2021-2022,13,BURNET COUNTY,Grade 8,591
2021-2022,13,BURNET COUNTY,Grade 9,630
2021-2022,13,BURNET COUNTY,Grade 10,593
2021-2022,13,BURNET COUNTY,Grade 11,523
2021-2022,13,BURNET COUNTY,Grade 12,483
2021-2022,13,CALDWELL COUNTY,Early Education,35
2021-2022,13,CALDWELL COUNTY,Pre-kindergarten,299
2021-2022,13,CALDWELL COUNTY,Kindergarten,539
2021-2022,13,CALDWELL COUNTY,Grade 1,572
2021-2022,13,CALDWELL COUNTY,Grade 2,550
2021-2022,13,CALDWELL COUNTY,Grade 3,540
2021-2022,13,CALDWELL COUNTY,Grade 4,552
2021-2022,13,CALDWELL COUNTY,Grade 5,568
2021-2022,13,CALDWELL COUNTY,Grade 6,539
2021-2022,13,CALDWELL COUNTY,Grade 7,593
2021-2022,13,CALDWELL COUNTY,Grade 8,613
2021-2022,13,CALDWELL COUNTY,Grade 9,758
2021-2022,13,CALDWELL COUNTY,Grade 10,617
2021-2022,13,CALDWELL COUNTY,Grade 11,561
2021-2022,13,CALDWELL COUNTY,Grade 12,467
2021-2022,3,CALHOUN COUNTY,Early Education,14
2021-2022,3,CALHOUN COUNTY,Pre-kindergarten,148
2021-2022,3,CALHOUN COUNTY,Kindergarten,270
2021-2022,3,CALHOUN COUNTY,Grade 1,264
2021-2022,3,CALHOUN COUNTY,Grade 2,270
2021-2022,3,CALHOUN COUNTY,Grade 3,245
2021-2022,3,CALHOUN COUNTY,Grade 4,261
2021-2022,3,CALHOUN COUNTY,Grade 5,258
2021-2022,3,CALHOUN COUNTY,Grade 6,278
2021-2022,3,CALHOUN COUNTY,Grade 7,245
2021-2022,3,CALHOUN COUNTY,Grade 8,274
2021-2022,3,CALHOUN COUNTY,Grade 9,298
2021-2022,3,CALHOUN COUNTY,Grade 10,270
2021-2022,3,CALHOUN COUNTY,Grade 11,228
2021-2022,3,CALHOUN COUNTY,Grade 12,253
2021-2022,14,CALLAHAN COUNTY,Early Education,11
2021-2022,14,CALLAHAN COUNTY,Pre-kindergarten,113
2021-2022,14,CALLAHAN COUNTY,Kindergarten,192
2021-2022,14,CALLAHAN COUNTY,Grade 1,228
2021-2022,14,CALLAHAN COUNTY,Grade 2,188
2021-2022,14,CALLAHAN COUNTY,Grade 3,190
2021-2022,14,CALLAHAN COUNTY,Grade 4,175
2021-2022,14,CALLAHAN COUNTY,Grade 5,163
2021-2022,14,CALLAHAN COUNTY,Grade 6,201
2021-2022,14,CALLAHAN COUNTY,Grade 7,209
2021-2022,14,CALLAHAN COUNTY,Grade 8,197
2021-2022,14,CALLAHAN COUNTY,Grade 9,212
2021-2022,14,CALLAHAN COUNTY,Grade 10,190
2021-2022,14,CALLAHAN COUNTY,Grade 11,157
2021-2022,14,CALLAHAN COUNTY,Grade 12,145
2021-2022,1,CAMERON COUNTY,Early Education,134
2021-2022,1,CAMERON COUNTY,Pre-kindergarten,4853
2021-2022,1,CAMERON COUNTY,Kindergarten,4841
2021-2022,1,CAMERON COUNTY,Grade 1,5462
2021-2022,1,CAMERON COUNTY,Grade 2,5281
2021-2022,1,CAMERON COUNTY,Grade 3,5447
2021-2022,1,CAMERON COUNTY,Grade 4,5745
2021-2022,1,CAMERON COUNTY,Grade 5,5923
2021-2022,1,CAMERON COUNTY,Grade 6,5977
2021-2022,1,CAMERON COUNTY,Grade 7,6882
2021-2022,1,CAMERON COUNTY,Grade 8,7056
2021-2022,1,CAMERON COUNTY,Grade 9,8033
2021-2022,1,CAMERON COUNTY,Grade 10,7172
2021-2022,1,CAMERON COUNTY,Grade 11,7309
2021-2022,1,CAMERON COUNTY,Grade 12,7070
2021-2022,8,CAMP COUNTY,Early Education,8
2021-2022,8,CAMP COUNTY,Pre-kindergarten,74
2021-2022,8,CAMP COUNTY,Kindergarten,156
2021-2022,8,CAMP COUNTY,Grade 1,192
2021-2022,8,CAMP COUNTY,Grade 2,191
2021-2022,8,CAMP COUNTY,Grade 3,186
2021-2022,8,CAMP COUNTY,Grade 4,139
2021-2022,8,CAMP COUNTY,Grade 5,152
2021-2022,8,CAMP COUNTY,Grade 6,182
2021-2022,8,CAMP COUNTY,Grade 7,163
2021-2022,8,CAMP COUNTY,Grade 8,218
2021-2022,8,CAMP COUNTY,Grade 9,195
2021-2022,8,CAMP COUNTY,Grade 10,167
2021-2022,8,CAMP COUNTY,Grade 11,174
2021-2022,8,CAMP COUNTY,Grade 12,161
2021-2022,16,CARSON COUNTY,Early Education,6
