T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2012-2013,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2012-2013,7,ANDERSON COUNTY,Early Education,57
2012-2013,7,ANDERSON COUNTY,Pre-kindergarten,387
2012-2013,7,ANDERSON COUNTY,Kindergarten,633
2012-2013,7,ANDERSON COUNTY,Grade  1,647
2012-2013,7,ANDERSON COUNTY,Grade  2,646
2012-2013,7,ANDERSON COUNTY,Grade  3,616
2012-2013,7,ANDERSON COUNTY,Grade  4,606
2012-2013,7,ANDERSON COUNTY,Grade  5,634
2012-2013,7,ANDERSON COUNTY,Grade  6,608
2012-2013,7,ANDERSON COUNTY,Grade  7,603
2012-2013,7,ANDERSON COUNTY,Grade  8,612
2012-2013,7,ANDERSON COUNTY,Grade  9,634
2012-2013,7,ANDERSON COUNTY,Grade 10,599
2012-2013,7,ANDERSON COUNTY,Grade 11,546
2012-2013,7,ANDERSON COUNTY,Grade 12,511
2012-2013,18,ANDREWS COUNTY,Early Education,6
2012-2013,18,ANDREWS COUNTY,Pre-kindergarten,117
2012-2013,18,ANDREWS COUNTY,Kindergarten,308
2012-2013,18,ANDREWS COUNTY,Grade  1,307
2012-2013,18,ANDREWS COUNTY,Grade  2,289
2012-2013,18,ANDREWS COUNTY,Grade  3,297
2012-2013,18,ANDREWS COUNTY,Grade  4,308
2012-2013,18,ANDREWS COUNTY,Grade  5,271
2012-2013,18,ANDREWS COUNTY,Grade  6,294
2012-2013,18,ANDREWS COUNTY,Grade  7,246
2012-2013,18,ANDREWS COUNTY,Grade  8,237
2012-2013,18,ANDREWS COUNTY,Grade  9,270
2012-2013,18,ANDREWS COUNTY,Grade 10,252
2012-2013,18,ANDREWS COUNTY,Grade 11,242
2012-2013,18,ANDREWS COUNTY,Grade 12,175
2012-2013,7,ANGELINA COUNTY,Early Education,67
2012-2013,7,ANGELINA COUNTY,Pre-kindergarten,1118
2012-2013,7,ANGELINA COUNTY,Kindergarten,1372
2012-2013,7,ANGELINA COUNTY,Grade  1,1411
2012-2013,7,ANGELINA COUNTY,Grade  2,1254
2012-2013,7,ANGELINA COUNTY,Grade  3,1306
2012-2013,7,ANGELINA COUNTY,Grade  4,1218
2012-2013,7,ANGELINA COUNTY,Grade  5,1251
2012-2013,7,ANGELINA COUNTY,Grade  6,1278
2012-2013,7,ANGELINA COUNTY,Grade  7,1279
2012-2013,7,ANGELINA COUNTY,Grade  8,1287
2012-2013,7,ANGELINA COUNTY,Grade  9,1293
2012-2013,7,ANGELINA COUNTY,Grade 10,1190
2012-2013,7,ANGELINA COUNTY,Grade 11,1221
2012-2013,7,ANGELINA COUNTY,Grade 12,1057
2012-2013,2,ARANSAS COUNTY,Early Education,-9999999
2012-2013,2,ARANSAS COUNTY,Pre-kindergarten,78
2012-2013,2,ARANSAS COUNTY,Kindergarten,252
2012-2013,2,ARANSAS COUNTY,Grade  1,235
2012-2013,2,ARANSAS COUNTY,Grade  2,241
2012-2013,2,ARANSAS COUNTY,Grade  3,263
2012-2013,2,ARANSAS COUNTY,Grade  4,209
2012-2013,2,ARANSAS COUNTY,Grade  5,218
2012-2013,2,ARANSAS COUNTY,Grade  6,255
2012-2013,2,ARANSAS COUNTY,Grade  7,267
2012-2013,2,ARANSAS COUNTY,Grade  8,235
2012-2013,2,ARANSAS COUNTY,Grade  9,248
2012-2013,2,ARANSAS COUNTY,Grade 10,253
2012-2013,2,ARANSAS COUNTY,Grade 11,200
2012-2013,2,ARANSAS COUNTY,Grade 12,207
2012-2013,9,ARCHER COUNTY,Early Education,5
2012-2013,9,ARCHER COUNTY,Pre-kindergarten,54
2012-2013,9,ARCHER COUNTY,Kindergarten,126
