T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2022-2023,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2022-2023,7,ANDERSON COUNTY,Early Education,8
2022-2023,7,ANDERSON COUNTY,Pre-kindergarten,451
2022-2023,7,ANDERSON COUNTY,Kindergarten,558
2022-2023,7,ANDERSON COUNTY,Grade 1,582
2022-2023,7,ANDERSON COUNTY,Grade 2,531
2022-2023,7,ANDERSON COUNTY,Grade 3,557
2022-2023,7,ANDERSON COUNTY,Grade 4,584
2022-2023,7,ANDERSON COUNTY,Grade 5,555
2022-2023,7,ANDERSON COUNTY,Grade 6,551
2022-2023,7,ANDERSON COUNTY,Grade 7,583
2022-2023,7,ANDERSON COUNTY,Grade 8,642
2022-2023,7,ANDERSON COUNTY,Grade 9,668
2022-2023,7,ANDERSON COUNTY,Grade 10,624
2022-2023,7,ANDERSON COUNTY,Grade 11,559
2022-2023,7,ANDERSON COUNTY,Grade 12,507
2022-2023,18,ANDREWS COUNTY,Early Education,27
2022-2023,18,ANDREWS COUNTY,Pre-kindergarten,105
2022-2023,18,ANDREWS COUNTY,Kindergarten,314
2022-2023,18,ANDREWS COUNTY,Grade 1,338
2022-2023,18,ANDREWS COUNTY,Grade 2,342
2022-2023,18,ANDREWS COUNTY,Grade 3,293
2022-2023,18,ANDREWS COUNTY,Grade 4,337
2022-2023,18,ANDREWS COUNTY,Grade 5,311
2022-2023,18,ANDREWS COUNTY,Grade 6,303
2022-2023,18,ANDREWS COUNTY,Grade 7,295
2022-2023,18,ANDREWS COUNTY,Grade 8,322
2022-2023,18,ANDREWS COUNTY,Grade 9,339
2022-2023,18,ANDREWS COUNTY,Grade 10,336
2022-2023,18,ANDREWS COUNTY,Grade 11,277
2022-2023,18,ANDREWS COUNTY,Grade 12,259
2022-2023,7,ANGELINA COUNTY,Early Education,62
2022-2023,7,ANGELINA COUNTY,Pre-kindergarten,770
2022-2023,7,ANGELINA COUNTY,Kindergarten,1099
2022-2023,7,ANGELINA COUNTY,Grade 1,1191
2022-2023,7,ANGELINA COUNTY,Grade 2,1127
2022-2023,7,ANGELINA COUNTY,Grade 3,1176
2022-2023,7,ANGELINA COUNTY,Grade 4,1129
2022-2023,7,ANGELINA COUNTY,Grade 5,1192
2022-2023,7,ANGELINA COUNTY,Grade 6,1150
2022-2023,7,ANGELINA COUNTY,Grade 7,1143
2022-2023,7,ANGELINA COUNTY,Grade 8,1193
2022-2023,7,ANGELINA COUNTY,Grade 9,1301
2022-2023,7,ANGELINA COUNTY,Grade 10,1280
2022-2023,7,ANGELINA COUNTY,Grade 11,1142
2022-2023,7,ANGELINA COUNTY,Grade 12,1022
2022-2023,2,ARANSAS COUNTY,Early Education,5
2022-2023,2,ARANSAS COUNTY,Pre-kindergarten,136
2022-2023,2,ARANSAS COUNTY,Kindergarten,192
2022-2023,2,ARANSAS COUNTY,Grade 1,204
2022-2023,2,ARANSAS COUNTY,Grade 2,192
2022-2023,2,ARANSAS COUNTY,Grade 3,229
2022-2023,2,ARANSAS COUNTY,Grade 4,206
2022-2023,2,ARANSAS COUNTY,Grade 5,231
2022-2023,2,ARANSAS COUNTY,Grade 6,237
2022-2023,2,ARANSAS COUNTY,Grade 7,248
2022-2023,2,ARANSAS COUNTY,Grade 8,213
2022-2023,2,ARANSAS COUNTY,Grade 9,265
2022-2023,2,ARANSAS COUNTY,Grade 10,253
2022-2023,2,ARANSAS COUNTY,Grade 11,223
2022-2023,2,ARANSAS COUNTY,Grade 12,210
2022-2023,9,ARCHER COUNTY,Early Education,6
2022-2023,9,ARCHER COUNTY,Pre-kindergarten,95
2022-2023,9,ARCHER COUNTY,Kindergarten,139
2022-2023,9,ARCHER COUNTY,Grade 1,146
2022-2023,9,ARCHER COUNTY,Grade 2,167
2022-2023,9,ARCHER COUNTY,Grade 3,155
2022-2023,9,ARCHER COUNTY,Grade 4,161
2022-2023,9,ARCHER COUNTY,Grade 5,160
2022-2023,9,ARCHER COUNTY,Grade 6,165
2022-2023,9,ARCHER COUNTY,Grade 7,156
2022-2023,9,ARCHER COUNTY,Grade 8,168
2022-2023,9,ARCHER COUNTY,Grade 9,174
2022-2023,9,ARCHER COUNTY,Grade 10,167
2022-2023,9,ARCHER COUNTY,Grade 11,161
2022-2023,9,ARCHER COUNTY,Grade 12,137
2022-2023,16,ARMSTRONG COUNTY,Pre-kindergarten,18
2022-2023,16,ARMSTRONG COUNTY,Kindergarten,25
2022-2023,16,ARMSTRONG COUNTY,Grade 1,16
2022-2023,16,ARMSTRONG COUNTY,Grade 2,17
2022-2023,16,ARMSTRONG COUNTY,Grade 3,34
2022-2023,16,ARMSTRONG COUNTY,Grade 4,32
2022-2023,16,ARMSTRONG COUNTY,Grade 5,22
2022-2023,16,ARMSTRONG COUNTY,Grade 6,24
2022-2023,16,ARMSTRONG COUNTY,Grade 7,23
